Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2024-06-24 22:57:13	1930	3686	5	0	0	7.75	32	0	0	0	32	0	0	2	32	0	0	0	32	0	0	4.979		99.959	40.8231	0.0415675	0	0.415846	0.331216	15.0238	1		0.0088623	12.0439	39.9871	0	0	0	
2024-06-24 22:51:22	1891	3687	5	0	0	5	21	0	0	0	21	0	0	7.5	21	0	0	0	21	0	0	2.165		99.959	40.6307	0.0888344	0	0.888708	0.0893695	13.9598	1		0.0088623	12.0439	40.3769	0	0	0	
2024-06-24 22:50:47	1887	3688	5	0	0	5	21	0	0	0	21	0	0	6.25	21	0	0	0	21	0	0	1.082		99.9536	40.6353	0.178957	0	1.7904	0.0539965	14.0618	1		0	12.0439	40.3769	0	0	0	
2024-06-24 22:47:38	1865	3689	1	0	0	3	13	0	0	0	13	0	0	1.75	13	0	0	0	13	0	0	1.082		99.9619	40.9736	0.162952	0	1.63014	0.0475849	12.8031	1		0	12.0439	41.0267	0	0	0	
2024-06-24 22:55:53	1921	3690	5	0	0	7.75	32	0	0	0	32	0	0	6.75	32	0	0	0	32	0	0	0.866		99.9581	40.7244	0.22956	0	2.29656	0.350196	14.4297	1		0	12.0439	39.9871	0	0	0	
2024-06-24 23:03:09	1971	3691	1	0	0	3.25	14	0	0	0	14	0	0	2.5	14	0	0	0	14	0	0	0.649		99.9561	41.1773	0.276154	0	2.76275	0.094256	13.0192	1		0	12.0439	40.117	0	0	0	
2024-06-24 22:49:13	1876	3692	9	0	0	4	17	0	0	0	17	0	0	7.5	17	0	0	0	17	0	0	3.031		99.9548	40.3514	0.0651123	0	0.651417	0.29368	14.3254	1		0	12.0439	40.6368	0	0	0	
2024-06-24 22:48:39	1872	3693	9	0	0	4	17	0	0	0	17	0	0	6.25	17	0	0	0	17	0	0	1.948		99.9563	40.3841	0.0987335	0	0.987767	0.0446081	13.9642	1		0	12.0439	40.7668	0	0	0	
2024-06-24 22:48:04	1868	3694	1	0	0	3	13	0	0	0	13	0	0	3.5	13	0	0	0	13	0	0	0.433		99.9562	40.9391	0.426191	0	4.26378	0.164857	13.395	1		0.0088623	12.0439	41.0267	0	0	0	
2024-06-24 22:45:48	1852	3695	5	0	0	2	9	0	0	0	9	0	0	6.75	9	0	0	0	9	0	0	4.113		99.9662	40.2384	0.0524981	0	0.525159	0.110771	15.6734	1		0	12.0439	41.6764	0	0	0	
