Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2024-06-10 20:33:51	1367	3179	1	0	0	7.75	32	0	0	0	32	0	0	2	32	0	0	0	32	0	0	4.979		99.9174	46.7545	0.0424058	0	0.424408	0.824498	15.3332	1		0	11.973	35.8288	0	0	0	
2024-06-10 20:28:44	1331	3180	5	0	0	5	21	0	0	0	21	0	0	7.5	21	0	0	0	21	0	0	2.165		99.9103	47.4992	0.102816	0	1.02908	0.0780294	16.1648	2		0	12.0705	36.3486	0	0	0	
2024-06-10 20:28:54	1332	3181	5	0	0	5	21	0	0	0	21	0	0	6.25	21	0	0	0	21	0	0	1.082		99.9086	47.453	0.259854	0	2.60092	0.0875004	20.4276	2		0	12.0705	36.2187	0	0	0	
2024-06-10 20:26:27	1313	3182	1	0	0	3	13	0	0	0	13	0	0	1.75	13	0	0	0	13	0	0	1.082		99.9191	47.2806	0.196079	0	1.96238	0.630182	15.4125	1		0	12.0705	36.7384	0	0	0	
2024-06-10 20:34:05	1369	3183	9	0	0	7.75	32	0	0	0	32	0	0	6.75	32	0	0	0	32	0	0	0.866		99.9189	46.778	0.285005	0	2.85237	0.404015	17.922	1		0	12.0705	35.8288	0	0	0	
2024-06-10 20:41:03	1416	3184	1	0	0	3.25	14	0	0	0	14	0	0	2.5	14	0	0	0	14	0	0	0.649		99.9121	46.0883	0.364179	0	3.64499	0.418189	17.1766	2		0	12.0705	35.8288	0	0	0	
2024-06-10 20:26:56	1317	3185	9	0	0	4	17	0	0	0	17	0	0	7.5	17	0	0	0	17	0	0	3.031		99.9135	46.7131	0.064382	0	0.644377	0.103565	14.1706	1		0	12.0705	36.7384	0	0	0	
2024-06-10 20:27:47	1324	3186	5	0	0	4	17	0	0	0	17	0	0	6.25	17	0	0	0	17	0	0	1.948		99.9141	46.6087	0.100011	0	1.00097	0.195523	14.1509	1		0	12.0705	36.4785	0	0	0	
2024-06-10 20:25:25	1306	3187	1	0	0	3	13	0	0	0	13	0	0	3.5	13	0	0	0	13	0	0	0.433		99.9213	47.2964	0.565146	0	5.65592	0.138716	17.7686	2		0	12.0705	37.1283	0	0	0	
2024-06-10 20:24:38	1300	3188	9	0	0	2	9	0	0	0	9	0	0	6.75	9	0	0	0	9	0	0	4.113		99.9232	46.7658	0.050286	0	0.503246	0.00538518	15.0195	1		0	12.0705	37.5181	0	0	0	
