Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2024-06-11 14:34:38	1266	2346	5	0	0	7.75	32	0	0	0	32	0	0	2	32	0	0	0	32	0	0	4.979		99.9225	49.1845	0.0423458	0	0.423786	0.13185	15.3107	1		0	12.0705	36.4785	0	0	0	
2024-06-11 14:28:41	1223	2347	5	0	0	5	21	0	0	0	21	0	0	7.5	21	0	0	0	21	0	0	2.165		99.9203	49.6413	0.103232	0	1.03314	0.369004	16.2285	1		0	12.0705	36.8684	0	0	0	
2024-06-11 14:28:49	1224	2348	9	0	0	5	21	0	0	0	21	0	0	6.25	21	0	0	0	21	0	0	1.082		99.9249	49.5905	0.263018	0	2.63216	0.193938	20.6729	2		0	12.0616	36.8684	0	0	0	
2024-06-11 14:26:13	1204	2349	1	0	0	3	13	0	0	0	13	0	0	1.75	13	0	0	0	13	0	0	1.082		99.9208	49.3817	0.200165	0	2.00323	0.435282	15.7333	1		0	12.0705	37.3882	0	0	0	
2024-06-11 14:34:22	1264	2350	5	0	0	7.75	32	0	0	0	32	0	0	6.75	32	0	0	0	32	0	0	0.866		99.9219	49.1147	0.283515	0	2.83737	0.35066	17.8277	1		0	12.0705	36.4785	0	0	0	
2024-06-11 14:40:37	1307	2351	1	0	0	3.25	14	0	0	0	14	0	0	2.5	14	0	0	0	14	0	0	0.649		99.9222	48.4631	0.377007	0	3.77301	0.0870429	17.7799	2		0	12.0705	36.3486	0	0	0	
2024-06-11 14:26:57	1210	2352	5	0	0	4	17	0	0	0	17	0	0	7.5	17	0	0	0	17	0	0	3.031		99.9213	48.7587	0.06418	0	0.642306	0.425205	14.125	1		0	12.0705	37.2582	0	0	0	
2024-06-11 14:27:04	1211	2353	5	0	0	4	17	0	0	0	17	0	0	6.25	17	0	0	0	17	0	0	1.948		99.9189	48.8346	0.100413	0	1.00495	0.0125355	14.2071	1		0	12.0705	37.2582	0	0	0	
2024-06-11 14:25:33	1199	2354	1	0	0	3	13	0	0	0	13	0	0	3.5	13	0	0	0	13	0	0	0.433		99.9218	49.385	0.57797	0	5.78423	0.128225	18.1717	2		0	12.0705	37.6481	0	0	0	
2024-06-11 14:23:57	1187	2355	5	0	0	2	9	0	0	0	9	0	0	6.75	9	0	0	0	9	0	0	4.113		99.9269	48.8456	0.0505885	0	0.506256	0.519223	15.1093	1		0	12.0705	38.2978	0	0	0	
2024-06-11 14:32:08	1247	2356	1	0	0	7	29	0	0	0	29	0	0	5.75	29	0	0	0	29	0	0	1.082		99.9186	48.7322	0.239515	0	2.3971	0.554495	18.8267	1		0	12.0705	36.4785	0	0	0	
2024-06-11 14:31:39	1244	2357	5	0	0	7	29	0	0	0	29	0	0	4.5	29	0	0	0	29	0	0	2.165		99.9219	48.7239	0.0943883	0	0.94462	0.155901	14.8381	2		0	12.0616	36.4785	0	0	0	
2024-06-11 14:22:40	1177	2358	9	0	0	1	5	0	0	0	5	0	0	5.25	5	0	0	0	5	0	0	3.68		99.9351	49.0331	0.0660383	0	0.660812	0.414845	17.646	1		0	12.0705	39.0775	0	0	0	
