Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2024-06-05 23:07:49	203	581	9	0	0	95	20	0	0	0	20	0	0	85	20	0	0	0	20	0	0	8.659		200.116	103.949	0.0661771	0	0.330694	0.552172	20.7781	1		0	12.2388	41.5464	0	45.6274	-73.3823	
2024-06-05 23:05:50	189	582	5	0	0	120	25	0	0	0	25	0	0	110	25	0	0	0	25	0	0	8.659		200.114	99.0802	0.065373	0	0.326679	0.921919	20.5258	1		0	12.2566	42.1962	0	45.6274	-73.3823	
2024-06-05 23:08:24	208	583	5	0	0	85	18	0	0	0	18	0	0	70	18	0	0	0	18	0	0	12.989		200.121	102.347	0.0335859	0	0.167828	0.0579022	15.8174	2		0	12.2388	41.2865	0	45.6274	-73.3823	
2024-06-05 23:08:57	212	584	1	0	0	75	16	0	0	0	16	0	0	55	16	0	0	0	16	0	0	17.318		200.122	104.053	0.0324175	0	0.161989	0.0381883	20.3561	1		0.0088623	12.2211	41.1566	0	45.6274	-73.3823	
2024-06-05 23:12:47	241	585	1	0	0	30	7	0	0	0	7	0	0	10	7	0	0	0	7	0	0	17.318		200.13	114.757	0.00912461	0	0.0455933	0.93991	5.72943	1		0	12.2477	40.5069	0	45.6274	-73.3823	
2024-06-05 23:08:50	211	586	1	0	0	80	17	0	0	0	17	0	0	60	17	0	0	0	17	0	0	17.318		200.121	104.702	0.0267553	0	0.133696	0.519757	16.8007	1		0	12.2388	41.1566	0	45.6274	-73.3823	
2024-06-05 23:13:02	243	587	1	0	0	25	6	0	0	0	6	0	0	0	6	0	0	0	6	0	0	21.648		200.13	107.677	0.0434681	0	0.217199	0.246084	34.1176	2		0	12.2388	40.6368	0	45.6274	-73.3823	
2024-06-05 23:03:46	173	588	9	0	0	150	31	0	0	0	31	0	0	135	31	0	0	0	31	0	0	12.989		200.102	98.7207	0.0451727	0	0.225748	0.733243	21.2763	1		0	12.23	43.4956	0	45.6273	-73.3823	
2024-06-05 23:06:27	193	589	5	0	0	115	24	0	0	0	24	0	0	95	24	0	0	0	24	0	0	17.318		200.116	100.324	0.0456582	0	0.228158	0.314765	28.6712	2		0	12.2388	41.9363	0	45.6274	-73.3823	
2024-06-05 23:11:02	228	590	1	0	0	50	11	0	0	0	11	0	0	40	11	0	0	0	11	0	0	8.659		200.128	109.138	0.0487309	0	0.243498	0.105583	15.2995	1		0	12.2388	40.7668	0	45.6274	-73.3823	
2024-06-05 23:02:58	168	591	5	0	0	155	32	0	0	0	32	0	0	140	32	0	0	0	32	0	0	12.989		200.097	100.699	0.105192	0	0.525704	0.777759	49.5464	1		0.0088623	12.1857	43.8855	0	45.6274	-73.3823	
2024-06-05 23:06:51	196	592	9	0	0	110	23	0	0	0	23	0	0	85	23	0	0	0	23	0	0	21.648		200.116	100.721	0.0298611	0	0.149219	0.787044	23.4393	1		0	12.2388	41.9363	0	45.6274	-73.3823	
2024-06-05 23:08:57	212	593	5	0	0	75	16	0	0	0	16	0	0	70	16	0	0	0	16	0	0	4.33		200.122	104.053	0.0731802	0	0.365677	0.00406593	11.4881	1		0.0088623	12.2211	41.1566	0	45.6274	-73.3823	
2024-06-05 23:09:40	218	594	5	0	0	65	14	0	0	0	14	0	0	55	14	0	0	0	14	0	0	8.659		200.128	108.932	0.0492028	0	0.245857	0.338838	15.4476	1		0	12.2211	40.8967	0	45.6274	-73.3823	
2024-06-05 23:12:36	240	595	5	0	0	30	7	0	0	0	7	0	0	25	7	0	0	0	7	0	0	4.33		200.125	114.584	0.0428344	0	0.214038	0.162207	6.7242	2		0	12.2388	40.5069	0	45.6274	-73.3823	
2024-06-05 23:03:55	174	596	9	0	0	145	30	0	0	0	30	0	0	130	30	0	0	0	30	0	0	12.989		200.1	98.7247	0.0331276	0	0.165555	0.991831	15.6032	1		0.0088623	12.2566	43.4956	0	45.6273	-73.3823	
2024-06-05 23:13:26	246	597	1	0	0	20	5	0	0	0	5	0	0	10	5	0	0	0	5	0	0	8.659		200.129	116.957	0.103669	0	0.518013	0.652884	32.5477	1		0.0088623	12.2477	40.5069	0	45.6274	-73.3823	
2024-06-05 23:04:53	182	598	9	0	0	135	28	0	0	0	28	0	0	115	28	0	0	0	28	0	0	17.318		200.112	98.1019	0.0563522	0	0.281603	0.526166	35.3872	1		0	12.2566	42.8459	0	45.6274	-73.3823	
2024-06-05 23:08:43	210	599	1	0	0	80	17	0	0	0	17	0	0	75	17	0	0	0	17	0	0	4.33		200.125	104.891	0.0937587	0	0.468501	0.170062	14.7184	1		0	12.2566	41.1566	0	45.6274	-73.3823	
2024-06-05 23:07:10	198	600	9	0	0	105	22	0	0	0	22	0	0	100	22	0	0	0	22	0	0	4.33		200.113	102.131	0.0734416	0	0.367	0.127173	11.5297	2		0	12.2566	41.8063	0	45.6274	-73.3823	
2024-06-05 23:05:35	187	601	9	0	0	125	26	0	0	0	26	0	0	100	26	0	0	0	26	0	0	21.648		200.109	98.0658	0.0421632	0	0.210701	0.833821	33.0969	1		0	12.2388	42.4561	0	45.6274	-73.3823	
2024-06-05 23:09:19	215	602	1	0	0	70	15	0	0	0	15	0	0	60	15	0	0	0	15	0	0	8.659		200.122	107.482	0.0566176	0	0.282916	0.189743	17.7761	1		0.0088623	12.2566	41.0267	0	45.6274	-73.3823	
