Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2024-06-05 22:24:45	55	1	5	0	0	95	20	0	0	0	20	0	0	110	20	0	0	0	20	0	0	12.989		199.924	183.114	0.0332227	0	0.166176	0.804615	15.6618	1		0	12.0084	29.7214	0	45.6274	-73.3823	
2024-06-05 22:22:17	29	2	5	0	0	45	10	0	0	0	10	0	0	70	10	0	0	0	10	0	0	21.648		199.913	171.242	0.0243312	0	0.121709	0.452563	19.118	1		0	12.0084	29.0716	0	45.6274	-73.3823	
2024-06-05 22:21:50	24	3	5	0	0	35	8	0	0	0	8	0	0	55	8	0	0	0	8	0	0	17.318		199.905	169.867	0.0280345	0	0.140239	0.29515	17.623	1		0	12.2832	28.9417	0	45.6274	-73.3823	
2024-06-05 22:23:14	39	4	9	0	0	65	14	0	0	0	14	0	0	90	14	0	0	0	14	0	0	21.648		199.914	173.851	0.0356473	0	0.178313	2.0013	28.0094	1		0	12.2566	29.3315	0	45.6274	-73.3823	
2024-06-05 22:22:07	27	5	5	0	0	40	9	0	0	0	9	0	0	60	9	0	0	0	9	0	0	17.318		199.911	169.733	0.0371592	0	0.185879	0.517592	23.3582	1		0	12.2832	29.0716	0	45.6274	-73.3823	
2024-06-05 22:22:01	26	6	1	0	0	40	9	0	0	0	9	0	0	45	9	0	0	0	9	0	0	4.33		199.91	169.1	0.100108	0	0.500764	0.326546	15.732	1		0	12.0084	29.0716	0	45.6274	-73.3823	
2024-06-05 22:20:59	15	7	1	0	0	20	5	0	0	0	5	0	0	45	5	0	0	0	5	0	0	21.648		199.902	166.765	0.0249008	0	0.124565	0.545202	19.5666	1		0	12.2743	28.6818	0	45.6274	-73.3823	
2024-06-05 22:26:31	74	8	9	0	0	125	26	0	0	0	26	0	0	135	26	0	0	0	26	0	0	8.659		199.927	194.845	0.107627	0	0.538329	1.24599	33.8242	1		0	12.2566	29.8513	0	45.6274	-73.3823	
2024-06-05 22:25:53	67	9	5	0	0	115	24	0	0	0	24	0	0	120	24	0	0	0	24	0	0	4.33		199.926	188.707	0.148555	0	0.74305	0.550806	23.3436	1		0	12.2654	29.9813	0	45.6274	-73.3823	
2024-06-05 22:24:34	53	10	9	0	0	90	19	0	0	0	19	0	0	95	19	0	0	0	19	0	0	4.33		199.92	182.004	0.110129	0	0.550865	0.00403191	17.3059	1		0	12.292	29.7214	0	45.6274	-73.3823	
2024-06-05 22:23:31	42	11	9	0	0	70	15	0	0	0	15	0	0	95	15	0	0	0	15	0	0	21.648		199.917	175.342	0.050272	0	0.251465	0.287283	39.5	1		0	12.292	29.4615	0	45.6274	-73.3823	
2024-06-05 22:23:03	37	12	5	0	0	60	13	0	0	0	13	0	0	80	13	0	0	0	13	0	0	17.318		199.917	173.959	0.0291295	0	0.145708	0.0170095	18.3102	1		0	12.2743	29.3315	0	45.6274	-73.3823	
2024-06-05 22:22:45	34	13	1	0	0	50	11	0	0	0	11	0	0	65	11	0	0	0	11	0	0	12.989		199.915	172.703	0.0402485	0	0.201328	0.463976	18.9747	1		0	12.0084	29.2016	0	45.6274	-73.3823	
2024-06-05 22:26:49	77	14	5	0	0	130	27	0	0	0	27	0	0	140	27	0	0	0	27	0	0	8.659		199.933	198.535	0.198456	0	0.992611	2.06319	62.3676	1		0	12.2832	30.1112	0	45.6274	-73.3823	
2024-06-05 22:20:37	11	15	1	0	0	15	4	0	0	0	4	0	0	35	4	0	0	0	4	0	0	17.318		199.898	164.993	0.0329213	0	0.16469	0.27732	20.6956	1		0	12.2743	28.6818	0	45.6274	-73.3823	
2024-06-05 22:26:20	72	16	9	0	0	120	25	0	0	0	25	0	0	125	25	0	0	0	25	0	0	4.33		199.927	192.202	0.122929	0	0.614869	0.724506	19.3167	1		0	11.973	29.9813	0	45.6274	-73.3823	
2024-06-05 22:19:32	5	17	5	0	0	5	2	0	0	0	2	0	0	20	2	0	0	0	2	0	0	12.989		199.896	163.168	0.035528	0	0.177733	0.543601	16.7509	1		0	12.3009	27.6422	0	45.6272	-73.3823	
2024-06-05 22:24:16	50	18	5	0	0	85	18	0	0	0	18	0	0	110	18	0	0	0	18	0	0	21.648		199.92	178.998	0.0275505	0	0.137808	0.473621	21.6468	1		0	12.2743	29.5914	0	45.6274	-73.3823	
2024-06-05 22:22:57	36	19	1	0	0	55	12	0	0	0	12	0	0	70	12	0	0	0	12	0	0	12.989		199.915	173.538	0.0323069	0	0.161604	0.693984	15.2308	1		0	12.292	29.0716	0	45.6274	-73.3823	
2024-06-05 22:27:22	83	20	9	0	0	145	30	0	0	0	30	0	0	155	30	0	0	0	30	0	0	8.659		199.931	205.957	0.0884404	0	0.442354	0.190147	27.7939	1		0	12.2832	30.2411	0	45.6274	-73.3823	
2024-06-05 22:20:31	10	21	1	0	0	10	3	0	0	0	3	0	0	25	3	0	0	0	3	0	0	12.989		199.896	163.307	0.0359033	0	0.17961	0.411359	16.9278	1		0	12.292	28.6818	0	45.6274	-73.3823	
2024-06-05 22:19:06	2	22	5	0	0	0	1	0	0	0	1	0	0	10	1	0	0	0	1	0	0	8.659		199.894	163.051	0.0552978	0	0.276635	0.332543	17.3815	1		0	12.3452	27.2524	0	45.6273	-73.3823	
2024-06-05 22:23:54	46	23	9	0	0	80	17	0	0	0	17	0	0	100	17	0	0	0	17	0	0	17.318		199.916	178.426	0.0519761	0	0.25999	1.47838	32.6713	1		0	12.292	29.5914	0	45.6274	-73.3823	
2024-06-05 22:26:04	69	24	9	0	0	115	24	0	0	0	24	0	0	135	24	0	0	0	24	0	0	17.318		199.926	190.673	0.0886606	0	0.443468	1.82315	55.7278	1		0	12.2743	29.9813	0	45.6274	-73.3823	
2024-06-05 22:22:23	30	25	5	0	0	45	10	0	0	0	10	0	0	50	10	0	0	0	10	0	0	4.33		199.911	171.875	0.0946068	0	0.473244	0.0649939	14.8674	1		0	12.2743	29.2016	0	45.6274	-73.3823	
