Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2024-06-06 01:57:29	315	573	1	0	0	1	5	0	0	0	5	0	0	3	5	0	0	0	5	0	0	1.732		99.9305	43.5316	0.109557	0	1.09633	0.228125	13.7769	1		0	12.1502	42.4561	0	45.6273	-73.3823	
2024-06-06 01:58:00	319	574	5	0	0	3	13	0	0	0	13	0	0	4	13	0	0	0	13	0	0	0.866		99.9323	44.5868	0.239331	0	2.39493	0.0685891	15.0478	1		0	12.1591	41.9363	0	45.6273	-73.3823	
2024-06-06 01:58:07	320	575	9	0	0	3	13	0	0	0	13	0	0	7	13	0	0	0	13	0	0	3.464		99.9343	44.528	0.0609266	0	0.609667	0.255893	15.3226	1		0	12.1502	41.8063	0	45.6273	-73.3823	
2024-06-06 01:57:45	317	576	1	0	0	2	9	0	0	0	9	0	0	3	9	0	0	0	9	0	0	0.866		99.9355	44.0551	0.237955	0	2.38108	0.0946951	14.9608	1		0	12.1591	42.1962	0	45.6274	-73.3823	
2024-06-06 01:58:00	319	577	9	0	0	3	13	0	0	0	13	0	0	5	13	0	0	0	13	0	0	1.732		99.9323	44.5868	0.121233	0	1.21315	0.345697	15.2449	1		0	12.1591	41.9363	0	45.6273	-73.3823	
2024-06-06 01:57:02	313	578	1	0	0	0	1	0	0	0	1	0	0	2	1	0	0	0	1	0	0	1.732		99.9362	44.4014	0.216975	0	2.17114	4.65489	27.2833	4		0	12.1857	42.8459	0	45.6273	-73.3823	
2024-06-06 01:57:52	318	579	9	0	0	2	9	0	0	0	9	0	0	6	9	0	0	0	9	0	0	3.464		99.9355	43.9798	0.0656141	0	0.656565	0.223722	16.5013	1		0	12.1502	42.0662	0	45.6274	-73.3823	
2024-06-06 01:58:29	323	580	9	0	0	5	21	0	0	0	21	0	0	6	21	0	0	0	21	0	0	0.866		99.9326	45.5909	0.243283	0	2.43447	0.15654	15.2962	1		0.0088623	12.1502	41.6764	0	45.6273	-73.3823	
2024-06-06 01:58:22	322	581	9	0	0	4	17	0	0	0	17	0	0	7	17	0	0	0	17	0	0	2.598		99.9269	43.6292	0.07985	0	0.799084	0.0741213	15.0624	1		0	12.1502	41.6764	0	45.6273	-73.3823	
2024-06-06 01:58:14	321	582	9	0	0	4	17	0	0	0	17	0	0	5	17	0	0	0	17	0	0	0.866		99.9302	43.679	0.241222	0	2.4139	0.424638	15.167	1		0	12.1502	41.8063	0	45.6273	-73.3823	
2024-06-06 01:57:37	316	583	1	0	0	1	5	0	0	0	5	0	0	2	5	0	0	0	5	0	0	0.866		99.9367	43.5113	0.215325	0	2.15461	0.213793	13.5378	1		0	12.1502	42.1962	0	45.6274	-73.3823	
2024-06-06 01:57:02	313	584	5	0	0	0	1	0	0	0	1	0	0	3	1	0	0	0	1	0	0	2.598		99.9362	44.4014	0.0745378	0	0.745853	0.0712942	14.059	4		0	12.1857	42.8459	0	45.6273	-73.3823	
2024-06-06 01:57:29	315	585	9	0	0	1	5	0	0	0	5	0	0	4	5	0	0	0	5	0	0	2.598		99.9305	43.5316	0.0757348	0	0.757875	0.225868	14.2856	1		0	12.1502	42.4561	0	45.6273	-73.3823	
2024-06-06 01:57:45	317	586	9	0	0	2	9	0	0	0	9	0	0	4	9	0	0	0	9	0	0	1.732		99.9355	44.0551	0.127439	0	1.27522	0.0608183	16.0248	1		0	12.1591	42.1962	0	45.6274	-73.3823	
2024-06-06 01:57:29	315	587	5	0	0	1	5	0	0	0	5	0	0	5	5	0	0	0	5	0	0	3.464		99.9305	43.5316	0.0580139	0	0.580543	0.335337	14.5906	1		0	12.1502	42.4561	0	45.6273	-73.3823	
2024-06-06 01:58:07	320	588	5	0	0	3	13	0	0	0	13	0	0	6	13	0	0	0	13	0	0	2.598		99.9343	44.528	0.0867323	0	0.867894	0.150765	16.3594	1		0	12.1502	41.8063	0	45.6273	-73.3823	
