Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2024-06-16 16:20:20	1424	2681	5	0	0	7.75	32	0	0	0	32	0	0	2	32	0	0	0	32	0	0	4.979		100.031	86.2372	0.0417628	0	0.417499	0.0944921	15.0835	1		0.0088623	12.0705	46.8742	0	0	0	
2024-06-16 16:13:58	1381	2682	9	0	0	5	21	0	0	0	21	0	0	7.5	21	0	0	0	21	0	0	2.165		100.034	88.2315	0.0902659	0	0.90235	0.037652	14.1741	1		0	12.0705	47.394	0	0	0	
2024-06-16 16:14:06	1382	2683	5	0	0	5	21	0	0	0	21	0	0	6.25	21	0	0	0	21	0	0	1.082		100.034	88.3843	0.194774	0	1.94708	0.314661	15.2923	1		0	12.0705	47.5239	0	0	0	
2024-06-16 16:11:33	1364	2684	5	0	0	3	13	0	0	0	13	0	0	1.75	13	0	0	0	13	0	0	1.082		100.036	92.2955	0.175607	0	1.75543	0.211113	13.7871	1		0	12.0705	48.1737	0	0	0	
2024-06-16 16:19:12	1416	2685	5	0	0	7.75	32	0	0	0	32	0	0	6.75	32	0	0	0	32	0	0	0.866		100.033	86.1217	0.246871	0	2.4679	0.664275	15.5062	1		0	12.0616	47.1341	0	0	0	
2024-06-16 16:26:31	1467	2686	1	0	0	3.25	14	0	0	0	14	0	0	2.5	14	0	0	0	14	0	0	0.649		100.036	85.2462	0.308404	0	3.08293	0.356601	14.528	1		0	12.0705	47.1341	0	0	0	
2024-06-16 16:12:15	1369	2687	5	0	0	4	17	0	0	0	17	0	0	7.5	17	0	0	0	17	0	0	3.031		100.035	89.2267	0.0660254	0	0.660025	0.270504	14.5147	1		0.0088623	12.0705	47.7838	0	0	0	
2024-06-16 16:12:50	1373	2688	5	0	0	4	17	0	0	0	17	0	0	6.25	17	0	0	0	17	0	0	1.948		100.038	88.8923	0.101814	0	1.01775	0.0921685	14.3881	1		0.0088623	12.0705	47.6539	0	0	0	
2024-06-16 16:10:50	1359	2689	1	0	0	3	13	0	0	0	13	0	0	3.5	13	0	0	0	13	0	0	0.433		100.036	89.2311	0.467341	0	4.67175	0.372889	14.6767	1		0.0088623	12.0705	48.3036	0	0	0	
2024-06-16 16:09:37	1351	2690	5	0	0	2	9	0	0	0	9	0	0	6.75	9	0	0	0	9	0	0	4.113		100.041	89.7682	0.0529808	0	0.52959	0.229127	15.8057	1		0.0088623	12.0616	48.6935	0	0	0	
