Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2024-06-30 07:48:34	268	336	1	0	0	7.75	32	0	0	0	32	0	0	2	32	0	0	0	32	0	0	4.979		99.8987	46.5897	0.0424548	0	0.424979	0.13069	15.3538	1		0	12.0439	34.9192	0	0	0	
2024-06-30 07:43:14	228	337	9	0	0	5	21	0	0	0	21	0	0	7.5	21	0	0	0	21	0	0	2.165		99.8966	47.6634	0.0909125	0	0.910065	0.0308838	14.2953	1		0	12.0439	35.309	0	0	0	
2024-06-30 07:43:46	232	338	5	0	0	5	21	0	0	0	21	0	0	6.25	21	0	0	0	21	0	0	1.082		99.8996	47.6192	0.192182	0	1.92376	0.0371828	15.1091	2		0	12.0439	35.309	0	0	0	
2024-06-30 07:40:48	208	339	1	0	0	3	13	0	0	0	13	0	0	1.75	13	0	0	0	13	0	0	1.082		99.901	47.7942	0.173487	0	1.73659	0.211047	13.6391	1		0	12.0439	36.0887	0	0	0	
2024-06-30 07:48:41	269	340	5	0	0	7.75	32	0	0	0	32	0	0	6.75	32	0	0	0	32	0	0	0.866		99.8953	46.5875	0.252166	0	2.5243	0.238743	15.8607	1		0	12.0439	34.9192	0	0	0	
2024-06-30 07:54:35	315	341	1	0	0	3.25	14	0	0	0	14	0	0	2.5	14	0	0	0	14	0	0	0.649		99.8952	47.911	0.300246	0	3.00561	0.389736	14.1636	1		0	12.0439	34.9192	0	0	0	
2024-06-30 07:41:48	216	342	5	0	0	4	17	0	0	0	17	0	0	7.5	17	0	0	0	17	0	0	3.031		99.9011	47.6819	0.0665624	0	0.666283	0.0789411	14.6523	1		0	12.0439	35.8288	0	0	0	
2024-06-30 07:42:39	223	343	5	0	0	4	17	0	0	0	17	0	0	6.25	17	0	0	0	17	0	0	1.948		99.9	47.6338	0.102263	0	1.02365	0.107357	14.4715	1		0	12.0439	35.5689	0	0	0	
2024-06-30 07:41:27	213	344	5	0	0	3	13	0	0	0	13	0	0	3.5	13	0	0	0	13	0	0	0.433		99.9037	47.8298	0.487713	0	4.88183	0.164506	15.3367	1		0	12.0439	35.9588	0	0	0	
2024-06-30 07:38:54	193	345	5	0	0	2	9	0	0	0	9	0	0	6.75	9	0	0	0	9	0	0	4.113		99.9084	47.0377	0.0536662	0	0.537154	0.185777	16.0314	1		0.0088623	11.9464	36.9983	0	0	0	
2024-06-30 07:46:38	253	346	5	0	0	7	29	0	0	0	29	0	0	5.75	29	0	0	0	29	0	0	1.082		99.9007	46.734	0.186444	0	1.86629	0.0234807	14.6578	2		0	12.0439	34.9192	0	0	0	
2024-06-30 07:46:49	254	347	5	0	0	7	29	0	0	0	29	0	0	4.5	29	0	0	0	29	0	0	2.165		99.8982	46.7376	0.0914815	0	0.915747	0.414902	14.3845	1		0	12.0439	34.9192	0	0	0	
2024-06-30 07:37:20	181	348	5	0	0	1	5	0	0	0	5	0	0	5.25	5	0	0	0	5	0	0	3.68		99.9166	46.6165	0.0668056	0	0.668613	0.412118	17.8543	1		0	12.0439	38.0379	0	0	0	
2024-06-30 07:38:04	186	349	9	0	0	1	5	0	0	0	5	0	0	4	5	0	0	0	5	0	0	2.598		99.9141	46.6432	0.0735923	0	0.736556	0.0435998	13.8838	1		0	12.0439	37.3882	0	0	0	
2024-06-30 07:53:01	303	350	1	0	0	4.75	20	0	0	0	20	0	0	3	20	0	0	0	20	0	0	1.515		99.8904	47.5688	0.124993	0	1.2513	0.13775	13.7588	1		0	11.9375	34.7893	0	0	0	
2024-06-30 07:46:24	251	351	5	0	0	6	25	0	0	0	25	0	0	3	25	0	0	0	25	0	0	2.598		99.9017	47.572	0.0770547	0	0.771305	0.554493	14.5387	1		0	12.0439	34.9192	0	0	0	
2024-06-30 07:40:12	203	352	5	0	0	2	9	0	0	0	9	0	0	2.25	9	0	0	0	9	0	0	0.216		99.9047	47.0575	0.913765	0	9.14637	0.117005	14.3671	1		0	12.0439	36.2187	0	0	0	
2024-06-30 07:46:31	252	353	1	0	0	7	29	0	0	0	29	0	0	0.5	29	0	0	0	29	0	0	5.628		99.9041	46.7623	0.0424392	0	0.4248	0.38781	17.3491	1		0	12.0439	34.9192	0	0	0	
2024-06-30 07:36:06	171	354	1	0	0	0	1	0	0	0	1	0	0	3.5	1	0	0	0	1	0	0	3.031		99.9145	46.8448	0.0714507	0	0.715118	0.602376	15.7263	1		0	12.0439	39.2074	0	0	0	
2024-06-30 07:54:29	314	355	1	0	0	1.75	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0	1.515		99.8926	47.8151	0.123686	0	1.23819	0.0153975	13.6146	1		0	12.0439	34.9192	0	0	0	
