Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2024-06-30 09:28:42	642	1341	9	0	0	3	13	0	0	0	13	0	0	5.25	13	0	0	0	13	0	0	1.948		99.8954	48.0964	0.10369	0	1.03799	0.175373	14.6742	1		0	12.0439	34.1395	0	0	0	
2024-06-30 09:29:04	645	1342	9	0	0	3	13	0	0	0	13	0	0	4	13	0	0	0	13	0	0	0.866		99.8947	48.0403	0.224424	0	2.2466	0.147054	14.1158	1		0	12.0439	34.1395	0	0	0	
2024-06-30 09:16:48	555	1343	5	0	0	1	5	0	0	0	5	0	0	3	5	0	0	0	5	0	0	1.732		99.8941	46.8791	0.10849	0	1.08605	0.0382269	13.6477	1		0	12.0439	34.6593	0	0	0	
2024-06-30 09:59:53	873	1344	1	0	0	7.75	32	0	0	0	32	0	0	1.5	32	0	0	0	32	0	0	5.412		99.9102	46.2829	0.0396598	0	0.396955	0.54864	15.5884	1		0	12.0439	35.9588	0	0	0	
2024-06-30 09:51:28	812	1345	1	0	0	6.5	27	0	0	0	27	0	0	1.5	27	0	0	0	27	0	0	4.33		99.9018	46.9467	0.0534137	0	0.534662	0.424278	16.7969	2		0	12.0439	35.6989	0	0	0	
2024-06-30 09:24:08	609	1346	5	0	0	2.25	10	0	0	0	10	0	0	7.25	10	0	0	0	10	0	0	4.33		99.8949	47.9099	0.0528894	0	0.529451	0.598555	16.6332	1		0	12.0439	34.1395	0	0	0	
2024-06-30 09:29:04	645	1347	1	0	0	3	13	0	0	0	13	0	0	2.25	13	0	0	0	13	0	0	0.649		99.8947	48.0403	0.300146	0	3.00462	0.204144	14.1589	1		0	12.0439	34.1395	0	0	0	
2024-06-30 09:44:56	764	1348	1	0	0	5.5	23	0	0	0	23	0	0	0.25	23	0	0	0	23	0	0	4.546		99.9018	47.0563	0.0513063	0	0.513568	0.245144	16.9409	1		0	12.0439	35.309	0	0	0	
2024-06-30 09:37:12	709	1349	1	0	0	4.25	18	0	0	0	18	0	0	0.25	18	0	0	0	18	0	0	3.464		99.9042	47.8874	0.0588276	0	0.588841	0.372101	14.7992	1		0	12.0439	34.5294	0	0	0	
2024-06-30 09:15:32	545	1350	1	0	0	1	5	0	0	0	5	0	0	1.75	5	0	0	0	5	0	0	0.649		99.8997	46.8562	0.308027	0	3.08336	0.145972	14.53	1		0	12.0439	34.9192	0	0	0	
2024-06-30 09:13:09	526	1351	9	0	0	0.5	3	0	0	0	3	0	0	6.75	3	0	0	0	3	0	0	5.412		99.8992	47.4185	0.0510957	0	0.511472	0.240695	20.0855	2		0	12.0439	35.439	0	0	0	
2024-06-30 09:27:20	632	1352	5	0	0	2.75	12	0	0	0	12	0	0	5.75	12	0	0	0	12	0	0	2.598		99.8904	47.3706	0.0749294	0	0.750117	0.0983928	14.1394	1		0	12.0439	34.1395	0	0	0	
2024-06-30 09:27:13	631	1353	1	0	0	2.75	12	0	0	0	12	0	0	4.5	12	0	0	0	12	0	0	1.515		99.894	47.351	0.121198	0	1.21326	0.0165301	13.3405	1		0	12.0439	34.1395	0	0	0	
2024-06-30 09:15:10	542	1354	5	0	0	0.75	4	0	0	0	4	0	0	3.5	4	0	0	0	4	0	0	2.381		99.8988	47.6222	0.0798889	0	0.799699	0.0192879	13.8178	1		0	12.0439	34.9192	0	0	0	
2024-06-30 09:44:08	758	1355	5	0	0	5.25	22	0	0	0	22	0	0	2	22	0	0	0	22	0	0	2.814		99.8997	47.5019	0.0830008	0	0.830841	0.441194	16.9661	1		0	12.0439	35.309	0	0	0	
2024-06-30 09:36:01	700	1356	1	0	0	4	17	0	0	0	17	0	0	2	17	0	0	0	17	0	0	1.732		99.9014	47.6865	0.107152	0	1.07258	0.0603202	13.4784	1		0	11.9375	34.3994	0	0	0	
2024-06-30 09:58:23	861	1357	1	0	0	7.5	31	0	0	0	31	0	0	2.75	31	0	0	0	31	0	0	4.113		99.9078	46.1293	0.0508125	0	0.508593	0.299304	15.179	1		0	12.0439	35.9588	0	0	0	
2024-06-30 09:50:09	803	1358	1	0	0	6.25	26	0	0	0	26	0	0	2.75	26	0	0	0	26	0	0	3.031		99.9025	47.2763	0.0700658	0	0.701342	0.362072	15.4233	1		0	12.0439	35.6989	0	0	0	
2024-06-30 09:10:42	507	1359	5	0	0	0	1	0	0	0	1	0	0	0.5	1	0	0	0	1	0	0	0.433		99.8991	46.8224	0.467334	0	4.67805	0.0412683	14.6965	1		0	12.0439	36.4785	0	0	0	
2024-06-30 09:11:47	516	1360	5	0	0	0.25	2	0	0	0	2	0	0	7.25	2	0	0	0	2	0	0	6.061		99.9008	47.3004	0.0401089	0	0.401488	0.428565	17.6583	1		0.0088623	12.0439	35.9588	0	0	0	
2024-06-30 09:46:44	776	1361	5	0	0	5.75	24	0	0	0	24	0	0	7.75	24	0	0	0	24	0	0	1.732		99.8997	47.5126	0.116852	0	1.1697	0.0146506	14.6988	1		0	12.0439	35.309	0	0	0	
2024-06-30 09:46:52	777	1362	5	0	0	5.75	24	0	0	0	24	0	0	6.5	24	0	0	0	24	0	0	0.649		99.8944	47.5386	0.344741	0	3.45106	0.194486	16.2627	1		0	12.0439	35.439	0	0	0	
2024-06-30 09:38:27	718	1363	5	0	0	4.5	19	0	0	0	19	0	0	7.75	19	0	0	0	19	0	0	2.814		99.8992	47.7895	0.0724046	0	0.724777	0.0534673	14.8002	1		0	12.0439	34.9192	0	0	0	
2024-06-30 09:38:27	718	1364	9	0	0	4.5	19	0	0	0	19	0	0	6.5	19	0	0	0	19	0	0	1.732		99.8992	47.7895	0.115475	0	1.15591	0.0236941	14.5257	1		0	12.0439	34.9192	0	0	0	
2024-06-30 09:48:59	794	1365	5	0	0	6	25	0	0	0	25	0	0	3.25	25	0	0	0	25	0	0	2.381		99.9042	47.4329	0.0832449	0	0.833247	0.198726	14.3975	1		0	12.0439	35.5689	0	0	0	
2024-06-30 09:39:43	727	1366	1	0	0	4.75	20	0	0	0	20	0	0	3.25	20	0	0	0	20	0	0	1.299		99.896	47.4003	0.144322	0	1.44472	0.380931	13.6162	1		0	12.0439	34.9192	0	0	0	
2024-06-30 09:28:42	642	1367	1	0	0	3	13	0	0	0	13	0	0	2.75	13	0	0	0	13	0	0	0.216		99.8954	48.0964	0.89521	0	8.96147	0.742583	14.0766	1		0	12.0439	34.1395	0	0	0	
2024-06-30 10:00:31	878	1368	5	0	0	7.75	32	0	0	0	32	0	0	0.25	32	0	0	0	32	0	0	6.494		99.9101	46.3259	0.0340459	0	0.340765	0.10129	16.0582	1		0	12.0439	35.9588	0	0	0	
2024-06-30 09:51:57	815	1369	1	0	0	6.5	27	0	0	0	27	0	0	0.25	27	0	0	0	27	0	0	5.412		99.9059	46.9723	0.0419499	0	0.419894	0.400873	16.4892	1		0	12.0439	35.6989	0	0	0	
2024-06-30 09:22:34	597	1370	1	0	0	2	9	0	0	0	9	0	0	1.75	9	0	0	0	9	0	0	0.216		99.8947	47.2634	0.890906	0	8.91845	0.319048	14.0091	1		0	12.0439	34.1395	0	0	0	
2024-06-30 09:45:43	769	1371	5	0	0	5.5	23	0	0	0	23	0	0	7	23	0	0	0	23	0	0	1.299		99.8992	46.9962	0.155589	0	1.55746	0.0663907	14.6787	2		0	12.0439	35.1791	0	0	0	
2024-06-30 09:36:49	706	1372	5	0	0	4.25	18	0	0	0	18	0	0	7	18	0	0	0	18	0	0	2.381		99.9019	47.741	0.0840013	0	0.840838	0.0321812	14.5286	1		0	12.0439	34.5294	0	0	0	
2024-06-30 09:23:53	607	1373	9	0	0	2.25	10	0	0	0	10	0	0	6	10	0	0	0	10	0	0	3.247		99.8973	47.8691	0.0643383	0	0.644045	0.668823	15.1749	1		0	12.0439	34.1395	0	0	0	
2024-06-30 09:24:29	612	1374	5	0	0	2.25	10	0	0	0	10	0	0	4.75	10	0	0	0	10	0	0	2.165		99.8943	47.8959	0.0893118	0	0.894063	0.0949398	14.0439	1		0	12.0439	34.0096	0	0	0	
2024-06-30 09:29:52	651	1375	1	0	0	3	13	0	0	0	13	0	0	1	13	0	0	0	13	0	0	1.732		99.8992	47.9904	0.108888	0	1.08997	0.346621	13.697	1		0	12.0439	34.2695	0	0	0	
2024-06-30 09:58:38	863	1376	1	0	0	7.5	31	0	0	0	31	0	0	2	31	0	0	0	31	0	0	4.762		99.9102	46.1615	0.0446439	0	0.44684	0.545455	15.4417	1		0	12.0439	35.9588	0	0	0	
2024-06-30 09:50:27	805	1377	1	0	0	6.25	26	0	0	0	26	0	0	2	26	0	0	0	26	0	0	3.68		99.9028	47.2613	0.0611553	0	0.612148	0.0834103	16.3465	1		0	12.0439	35.439	0	0	0	
2024-06-30 09:26:15	624	1378	5	0	0	2.5	11	0	0	0	11	0	0	7.75	11	0	0	0	11	0	0	4.546		99.894	47.3605	0.0498704	0	0.499233	0.482598	16.4681	2		0	12.0439	33.8796	0	0	0	
2024-06-30 09:25:34	620	1379	9	0	0	2.5	11	0	0	0	11	0	0	6.5	11	0	0	0	11	0	0	3.464		99.8962	47.4128	0.0653948	0	0.654627	0.0897968	16.4526	2		0	12.0439	34.0096	0	0	0	
2024-06-30 09:16:41	554	1380	1	0	0	1	5	0	0	0	5	0	0	0.5	5	0	0	0	5	0	0	0.433		99.8993	46.8845	0.489584	0	4.90077	0.30041	15.3962	1		0	12.0439	34.6593	0	0	0	
