Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2024-06-23 10:26:42	121	45	1	0	0	7.75	32	0	0	0	32	0	0	2	32	0	0	0	32	0	0	4.979		99.9476	39.708	0.041831	0	0.418529	0.373174	15.1207	1		0	12.0439	39.4673	0	0	0	
2024-06-23 10:21:58	83	46	5	0	0	5	21	0	0	0	21	0	0	7.5	21	0	0	0	21	0	0	2.165		99.9474	39.6856	0.0890621	0	0.89109	0.208449	13.9972	1		0	12.0439	39.9871	0	0	0	
2024-06-23 10:22:05	84	47	5	0	0	5	21	0	0	0	21	0	0	6.25	21	0	0	0	21	0	0	1.082		99.9484	39.6664	0.189021	0	1.89118	0.17307	14.8533	1		0	12.0439	39.9871	0	0	0	
2024-06-23 10:19:35	63	48	5	0	0	3	13	0	0	0	13	0	0	1.75	13	0	0	0	13	0	0	1.082		99.9567	39.8244	0.172011	0	1.72085	0.152394	13.5155	1		0	12.0439	40.5069	0	0	0	
2024-06-23 10:26:57	123	49	5	0	0	7.75	32	0	0	0	32	0	0	6.75	32	0	0	0	32	0	0	0.866		99.9475	39.7137	0.23913	0	2.39256	0.0278529	15.0329	1		0	12.0439	39.3374	0	0	0	
2024-06-23 10:32:37	168	50	1	0	0	3.25	14	0	0	0	14	0	0	2.5	14	0	0	0	14	0	0	0.649		99.9482	39.6656	0.29311	0	2.93262	0.27529	13.8197	1		0	12.0439	39.3374	0	0	0	
2024-06-23 10:20:39	72	51	5	0	0	4	17	0	0	0	17	0	0	7.5	17	0	0	0	17	0	0	3.031		99.9504	39.1272	0.0652786	0	0.65311	0.0673264	14.3626	1		0.0088623	12.0439	40.247	0	0	0	
2024-06-23 10:20:46	73	52	9	0	0	4	17	0	0	0	17	0	0	6.25	17	0	0	0	17	0	0	1.948		99.9505	39.1124	0.100694	0	1.00744	0.213723	14.2423	1		0	12.0439	40.247	0	0	0	
2024-06-23 10:19:41	64	53	1	0	0	3	13	0	0	0	13	0	0	3.5	13	0	0	0	13	0	0	0.433		99.9569	39.8215	0.436919	0	4.37107	0.207924	13.7321	1		0.0088623	12.0439	40.6368	0	0	0	
2024-06-23 10:17:22	45	54	5	0	0	2	9	0	0	0	9	0	0	6.75	9	0	0	0	9	0	0	4.113		99.9613	39.1836	0.0531788	0	0.531994	0.11365	15.8774	1		0	12.0439	41.4165	0	0	0	
2024-06-23 10:24:59	107	55	9	0	0	7	29	0	0	0	29	0	0	5.75	29	0	0	0	29	0	0	1.082		99.9469	39.5994	0.189719	0	1.8982	0.142663	14.9084	1		0	12.0439	39.3374	0	0	0	
2024-06-23 10:25:28	111	56	9	0	0	7	29	0	0	0	29	0	0	4.5	29	0	0	0	29	0	0	2.165		99.9446	39.5704	0.0901292	0	0.901792	0.0809228	14.1653	1		0	12.0439	39.4673	0	0	0	
2024-06-23 10:15:56	33	57	9	0	0	1	5	0	0	0	5	0	0	5.25	5	0	0	0	5	0	0	3.68		99.9656	38.8425	0.0599962	0	0.600168	0.685377	16.0266	1		0	11.9375	42.4561	0	0	0	
2024-06-23 10:16:32	38	58	9	0	0	1	5	0	0	0	5	0	0	4	5	0	0	0	5	0	0	2.598		99.9573	38.8471	0.0725627	0	0.725937	0.133794	13.6836	1		0	12.0439	42.1962	0	0	0	
2024-06-23 10:30:58	156	59	1	0	0	4.75	20	0	0	0	20	0	0	3	20	0	0	0	20	0	0	1.515		99.9478	39.3064	0.123914	0	1.23979	0.00131672	13.6322	1		0	12.0439	39.3374	0	0	0	
2024-06-23 10:23:40	97	60	1	0	0	6	25	0	0	0	25	0	0	3	25	0	0	0	25	0	0	2.598		99.9486	39.6279	0.0762425	0	0.762817	0.0452606	14.3788	1		0	12.0439	39.5972	0	0	0	
