Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2024-06-11 02:34:43	274	336	5	0	0	7.75	32	0	0	0	32	0	0	2	32	0	0	0	32	0	0	4.979		99.9012	47.851	0.0423588	0	0.424007	0.0471509	15.3187	1		0	12.0705	35.309	0	0	0	
2024-06-11 02:28:48	231	337	9	0	0	5	21	0	0	0	21	0	0	7.5	21	0	0	0	21	0	0	2.165		99.905	48.3746	0.103137	0	1.03235	0.0138076	16.2161	2		0	12.0616	35.6989	0	0	0	
2024-06-11 02:29:15	234	338	9	0	0	5	21	0	0	0	21	0	0	6.25	21	0	0	0	21	0	0	1.082		99.9039	48.3439	0.260802	0	2.61053	0.116758	20.503	2		0	12.0705	35.6989	0	0	0	
2024-06-11 02:26:06	211	339	5	0	0	3	13	0	0	0	13	0	0	1.75	13	0	0	0	13	0	0	1.082		99.913	48.1719	0.197681	0	1.97853	0.533912	15.5393	1		0	12.0705	36.3486	0	0	0	
2024-06-11 02:34:21	271	340	9	0	0	7.75	32	0	0	0	32	0	0	6.75	32	0	0	0	32	0	0	0.866		99.9019	47.8727	0.283685	0	2.83963	0.362541	17.8419	1		0	12.0705	35.309	0	0	0	
2024-06-11 02:40:54	316	341	1	0	0	3.25	14	0	0	0	14	0	0	2.5	14	0	0	0	14	0	0	0.649		99.906	47.1426	0.371957	0	3.72307	0.274498	17.5446	2		0	12.0616	35.309	0	0	0	
2024-06-11 02:27:29	222	342	5	0	0	4	17	0	0	0	17	0	0	7.5	17	0	0	0	17	0	0	3.031		99.9085	47.5202	0.0642738	0	0.643327	0.0682346	14.1475	1		0	12.0705	35.9588	0	0	0	
2024-06-11 02:26:45	216	343	5	0	0	4	17	0	0	0	17	0	0	6.25	17	0	0	0	17	0	0	1.948		99.9097	47.5509	0.0998851	0	0.999753	0.267777	14.1337	1		0.0088623	12.0705	36.2187	0	0	0	
2024-06-11 02:25:43	208	344	1	0	0	3	13	0	0	0	13	0	0	3.5	13	0	0	0	13	0	0	0.433		99.9121	48.1423	0.572539	0	5.73042	0.129074	18.0027	2		0	12.0705	36.4785	0	0	0	
2024-06-11 02:23:44	192	345	9	0	0	2	9	0	0	0	9	0	0	6.75	9	0	0	0	9	0	0	4.113		99.9134	47.8729	0.0502896	0	0.503332	0.249317	15.022	1		0	12.0616	37.3882	0	0	0	
2024-06-11 02:32:14	255	346	5	0	0	7	29	0	0	0	29	0	0	5.75	29	0	0	0	29	0	0	1.082		99.9041	47.4813	0.238484	0	2.38713	0.693867	18.7484	1		0	12.0705	35.309	0	0	0	
2024-06-11 02:32:32	257	347	9	0	0	7	29	0	0	0	29	0	0	4.5	29	0	0	0	29	0	0	2.165		99.9046	47.4051	0.095093	0	0.951838	0.0923331	14.9514	2		0	12.0705	35.309	0	0	0	
2024-06-11 02:22:30	183	348	5	0	0	1	5	0	0	0	5	0	0	5.25	5	0	0	0	5	0	0	3.68		99.9185	47.7605	0.0654734	0	0.655268	0.403211	17.498	1		0	12.0705	38.0379	0	0	0	
2024-06-11 02:22:13	181	349	5	0	0	1	5	0	0	0	5	0	0	4	5	0	0	0	5	0	0	2.598		99.9138	47.8457	0.0800193	0	0.800883	0.295608	15.0963	1		0	12.0616	38.2978	0	0	0	
2024-06-11 02:39:03	304	350	1	0	0	4.75	20	0	0	0	20	0	0	3	20	0	0	0	20	0	0	1.515		99.9066	47.3004	0.134665	0	1.34791	0.897454	14.8211	1		0	12.0705	35.309	0	0	0	
2024-06-11 02:31:46	252	351	5	0	0	6	25	0	0	0	25	0	0	3	25	0	0	0	25	0	0	2.598		99.9019	47.7897	0.0769936	0	0.770692	0.183446	14.5272	1		0	12.0705	35.309	0	0	0	
