Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2024-06-12 13:33:59	2094	4356	1	0	0	7.75	32	0	0	0	32	0	0	2	32	0	0	0	32	0	0	4.979		99.9334	52.5339	0.0423187	0	0.423469	0.0585247	15.2992	1		0.0088623	12.0616	37.778	0	0	0	
2024-06-12 13:27:42	2048	4357	5	0	0	5	21	0	0	0	21	0	0	7.5	21	0	0	0	21	0	0	2.165		99.9377	52.833	0.101455	0	1.01519	0.0204895	15.9465	2		0	12.0616	38.8176	0	0	0	
2024-06-12 13:27:42	2048	4358	9	0	0	5	21	0	0	0	21	0	0	6.25	21	0	0	0	21	0	0	1.082		99.9377	52.833	0.265203	0	2.65368	0.136994	20.842	2		0	12.0616	38.8176	0	0	0	
2024-06-12 13:24:53	2026	4359	1	0	0	3	13	0	0	0	13	0	0	1.75	13	0	0	0	13	0	0	1.082		99.9373	53.0337	0.199979	0	2.00104	0.421187	15.7162	1		0	12.0616	39.8571	0	0	0	
2024-06-12 13:33:37	2091	4360	5	0	0	7.75	32	0	0	0	32	0	0	6.75	32	0	0	0	32	0	0	0.866		99.9358	52.4829	0.282989	0	2.83171	0.257752	17.7922	1		0	12.0616	37.778	0	0	0	
2024-06-12 13:39:43	2134	4361	1	0	0	3.25	14	0	0	0	14	0	0	2.5	14	0	0	0	14	0	0	0.649		99.9408	52.0204	0.372174	0	3.72395	0.236349	17.5487	2		0	12.0616	37.5181	0	0	0	
2024-06-12 13:26:32	2039	4362	5	0	0	4	17	0	0	0	17	0	0	7.5	17	0	0	0	17	0	0	3.031		99.9356	52.1524	0.0647496	0	0.647913	0.128186	14.2483	1		0.0088623	12.0616	39.0775	0	0	0	
2024-06-12 13:26:10	2036	4363	9	0	0	4	17	0	0	0	17	0	0	6.25	17	0	0	0	17	0	0	1.948		99.9342	52.1477	0.102217	0	1.02285	0.568202	14.4602	1		0	12.0616	39.0775	0	0	0	
2024-06-12 13:25:33	2031	4364	5	0	0	3	13	0	0	0	13	0	0	3.5	13	0	0	0	13	0	0	0.433		99.9324	52.8423	0.583499	0	5.83894	0.498957	18.3436	1		0	12.0616	39.3374	0	0	0	
2024-06-12 13:23:05	2013	4365	9	0	0	2	9	0	0	0	9	0	0	6.75	9	0	0	0	9	0	0	4.113		99.9359	52.4236	0.0508605	0	0.508931	0.063636	15.1891	1		0	12.0616	40.7668	0	0	0	
2024-06-12 13:31:35	2075	4366	9	0	0	7	29	0	0	0	29	0	0	5.75	29	0	0	0	29	0	0	1.082		99.9289	52.3888	0.241471	0	2.41643	0.516272	18.9786	1		0	12.0616	37.908	0	0	0	
2024-06-12 13:31:07	2072	4367	9	0	0	7	29	0	0	0	29	0	0	4.5	29	0	0	0	29	0	0	2.165		99.9394	52.2244	0.0950603	0	0.951179	0.244692	14.9411	2		0	12.0616	38.0379	0	0	0	
2024-06-12 13:21:33	2003	4368	5	0	0	1	5	0	0	0	5	0	0	5.25	5	0	0	0	5	0	0	3.68		99.9384	52.5421	0.0655565	0	0.65597	0.187183	17.5167	1		0.0088623	12.0616	41.9363	0	0	0	
2024-06-12 13:21:01	1999	4369	5	0	0	1	5	0	0	0	5	0	0	4	5	0	0	0	5	0	0	2.598		99.9398	52.5825	0.0799618	0	0.800099	0.228377	15.0815	1		0.0088623	12.0616	42.1962	0	0	0	
2024-06-12 13:37:53	2122	4370	1	0	0	4.75	20	0	0	0	20	0	0	3	20	0	0	0	20	0	0	1.515		99.9379	52.0284	0.135926	0	1.3601	0.732195	14.9551	1		0	12.0616	37.5181	0	0	0	
2024-06-12 13:30:42	2069	4371	5	0	0	6	25	0	0	0	25	0	0	3	25	0	0	0	25	0	0	2.598		99.935	52.353	0.0766412	0	0.76691	0.311446	14.4559	1		0	12.0616	38.0379	0	0	0	
2024-06-12 13:22:57	2012	4372	1	0	0	2	9	0	0	0	9	0	0	2.25	9	0	0	0	9	0	0	0.216		99.9346	52.64	0.987034	0	9.8768	0.593245	15.5144	1		0	12.0616	40.8967	0	0	0	
2024-06-12 13:32:27	2082	4373	1	0	0	7	29	0	0	0	29	0	0	0.5	29	0	0	0	29	0	0	5.628		99.9344	52.3106	0.0407696	0	0.407963	0.363447	16.6615	2		0	12.0616	37.908	0	0	0	
2024-06-12 13:20:19	1994	4374	1	0	0	0	1	0	0	0	1	0	0	3.5	1	0	0	0	1	0	0	3.031		99.9341	53.0017	0.0797975	0	0.798501	0.698455	17.56	2		0	12.0616	43.2357	0	0	0	
2024-06-12 13:39:35	2133	4375	1	0	0	1.75	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0	1.515		99.9436	52.015	0.131609	0	1.31684	0.381755	14.4794	1		0	12.0616	37.5181	0	0	0	
2024-06-12 13:29:54	2063	4376	5	0	0	6	25	0	0	0	25	0	0	7	25	0	0	0	25	0	0	0.866		99.9342	52.1882	0.295115	0	2.95309	0.0983301	18.5548	2		0	12.0616	38.1678	0	0	0	
2024-06-12 13:38:43	2127	4377	1	0	0	6.5	27	0	0	0	27	0	0	1.25	27	0	0	0	27	0	0	4.546		99.9393	51.9246	0.0671658	0	0.672066	0.230459	22.1692	2		0	12.0616	37.5181	0	0	0	
2024-06-12 13:33:51	2093	4378	5	0	0	7.75	32	0	0	0	32	0	0	1.25	32	0	0	0	32	0	0	5.628		99.9357	52.5308	0.0385	0	0.385248	0.264001	15.7338	1		0	12.0616	37.778	0	0	0	
2024-06-12 13:28:03	2050	4379	1	0	0	5	21	0	0	0	21	0	0	5.5	21	0	0	0	21	0	0	0.433		99.9346	52.7442	0.908241	0	9.08835	0.17678	28.5519	2		0	12.0616	38.5577	0	0	0	
