Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2024-06-05 22:46:22	139	436	5	0	0	95	20	0	0	0	20	0	0	110	20	0	0	0	20	0	0	12.989		200.026	208.783	0.0331119	0	0.165538	0.0907892	15.6016	1		0	12.2477	36.7384	0	45.6274	-73.3823	
2024-06-05 22:43:10	113	437	1	0	0	45	10	0	0	0	10	0	0	70	10	0	0	0	10	0	0	21.648		200.006	194.209	0.0298202	0	0.149096	0.478938	23.42	1		0	12.2566	36.7384	0	45.6273	-73.3824	
2024-06-05 22:42:25	107	438	5	0	0	35	8	0	0	0	8	0	0	55	8	0	0	0	8	0	0	17.318		200.004	189.845	0.0326087	0	0.16304	0.13284	20.4883	1		0	12.2566	36.8684	0	45.6273	-73.3823	
2024-06-05 22:44:22	123	439	9	0	0	65	14	0	0	0	14	0	0	90	14	0	0	0	14	0	0	21.648		200.014	200.963	0.0237411	0	0.118697	0.462908	18.6449	1		0	11.9907	36.6085	0	45.6274	-73.3824	
2024-06-05 22:42:47	110	440	1	0	0	40	9	0	0	0	9	0	0	60	9	0	0	0	9	0	0	17.318		200.005	191.319	0.0301294	0	0.150643	0.141705	18.9304	1		0	12.2566	36.7384	0	45.6273	-73.3823	
2024-06-05 22:42:47	110	441	5	0	0	40	9	0	0	0	9	0	0	45	9	0	0	0	9	0	0	4.33		200.005	191.319	0.0850443	0	0.425211	0.104661	13.3584	1		0	12.2566	36.7384	0	45.6273	-73.3823	
2024-06-05 22:41:21	98	442	1	0	0	20	5	0	0	0	5	0	0	45	5	0	0	0	5	0	0	21.648		199.995	197.733	0.0112579	0	0.056291	0.484292	8.84217	1		0	12.2566	36.9983	0	45.6273	-73.3823	
2024-06-05 22:48:57	158	443	9	0	0	125	26	0	0	0	26	0	0	135	26	0	0	0	26	0	0	8.659		200.048	220.482	0.0793162	0	0.396486	0.0485569	24.912	2		0	12.2211	36.9983	0	45.6274	-73.3823	
2024-06-05 22:48:11	152	444	9	0	0	115	24	0	0	0	24	0	0	120	24	0	0	0	24	0	0	4.33		200.043	219.748	0.103388	0	0.516828	0.174246	16.2366	1		0	12.2211	36.7384	0	45.6274	-73.3824	
2024-06-05 22:46:07	137	445	9	0	0	90	19	0	0	0	19	0	0	95	19	0	0	0	19	0	0	4.33		200.028	203.67	0.0954175	0	0.47702	0.0172505	14.986	1		0	12.2388	36.6085	0	45.6273	-73.3823	
