Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2024-06-12 11:28:32	386	687	1	0	0	1	5	0	0	0	5	0	0	3	5	0	0	0	5	0	0	1.732		99.9157	52.5602	0.101582	0	1.01668	0.199442	12.776	1		0.0088623	12.0616	40.3769	0	0	0	
2024-06-12 11:29:02	390	688	5	0	0	3	13	0	0	0	13	0	0	4	13	0	0	0	13	0	0	0.866		99.9211	53.1365	0.240378	0	2.40568	0.140784	15.1153	1		0	12.0616	39.8571	0	0	0	
2024-06-12 11:28:54	389	689	9	0	0	3	13	0	0	0	13	0	0	7	13	0	0	0	13	0	0	3.464		99.9216	53.1912	0.0672917	0	0.673445	0.146881	16.9255	1		0.0088623	12.0616	39.8571	0	0	0	
2024-06-12 11:28:39	387	690	1	0	0	2	9	0	0	0	9	0	0	3	9	0	0	0	9	0	0	0.866		99.9184	52.6223	0.242284	0	2.42482	0.3213	15.2356	1		0	12.0616	40.117	0	0	0	
2024-06-12 11:29:02	390	691	9	0	0	3	13	0	0	0	13	0	0	5	13	0	0	0	13	0	0	1.732		99.9211	53.1365	0.1162	0	1.16291	0.0556736	14.6136	1		0	12.0616	39.8571	0	0	0	
2024-06-12 11:28:04	383	692	5	0	0	0	1	0	0	0	1	0	0	2	1	0	0	0	1	0	0	1.732		99.9232	52.7458	0.14214	0	1.42249	0.782688	17.8756	1		0	12.0793	40.5069	0	0	0	
2024-06-12 11:28:39	387	693	9	0	0	2	9	0	0	0	9	0	0	6	9	0	0	0	9	0	0	3.464		99.9184	52.6223	0.0719321	0	0.719908	0.0991944	18.0933	1		0	12.0616	40.117	0	0	0	
2024-06-12 11:29:23	393	694	9	0	0	5	21	0	0	0	21	0	0	6	21	0	0	0	21	0	0	0.866		99.915	52.8743	0.268448	0	2.68677	0.693989	16.8814	1		0	11.9552	39.5972	0	0	0	
2024-06-12 11:29:09	391	695	9	0	0	4	17	0	0	0	17	0	0	7	17	0	0	0	17	0	0	2.598		99.9191	52.5648	0.0865477	0	0.866178	0.158564	16.3271	1		0	12.0616	39.8571	0	0	0	
2024-06-12 11:29:09	391	696	5	0	0	4	17	0	0	0	17	0	0	5	17	0	0	0	17	0	0	0.866		99.9191	52.5648	0.256017	0	2.56225	0.178185	16.0991	1		0	12.0616	39.8571	0	0	0	
2024-06-12 11:28:24	385	697	1	0	0	1	5	0	0	0	5	0	0	2	5	0	0	0	5	0	0	0.866		99.9214	52.6123	0.226863	0	2.27041	0.381588	14.2654	1		0	12.0616	40.3769	0	0	0	
2024-06-12 11:28:16	384	698	1	0	0	0	1	0	0	0	1	0	0	3	1	0	0	0	1	0	0	2.598		99.9188	52.7022	0.0776065	0	0.776696	0.251225	14.6404	1		0	12.0439	40.6368	0	0	0	
2024-06-12 11:28:24	385	699	9	0	0	1	5	0	0	0	5	0	0	4	5	0	0	0	5	0	0	2.598		99.9214	52.6123	0.0694193	0	0.694739	0.161311	13.0955	1		0	12.0616	40.3769	0	0	0	
2024-06-12 11:28:47	388	700	9	0	0	2	9	0	0	0	9	0	0	4	9	0	0	0	9	0	0	1.732		99.9169	52.5659	0.10666	0	1.06749	0.139178	13.4144	1		0	12.0616	39.8571	0	0	0	
2024-06-12 11:28:24	385	701	5	0	0	1	5	0	0	0	5	0	0	5	5	0	0	0	5	0	0	3.464		99.9214	52.6123	0.0638828	0	0.63933	0.18477	16.0681	1		0	12.0616	40.3769	0	0	0	
2024-06-12 11:28:54	389	702	5	0	0	3	13	0	0	0	13	0	0	6	13	0	0	0	13	0	0	2.598		99.9216	53.1912	0.0888602	0	0.889299	0.184623	16.7629	1		0.0088623	12.0616	39.8571	0	0	0	
2024-06-12 11:28:04	383	703	1	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0.866		99.9232	52.7458	0.214045	0	2.1421	0.147061	13.4592	1		0	12.0793	40.5069	0	0	0	
2024-06-12 11:29:23	393	704	5	0	0	5	21	0	0	0	21	0	0	7	21	0	0	0	21	0	0	1.732		99.915	52.8743	0.142679	0	1.42801	0.089866	17.9449	1		0	11.9552	39.5972	0	0	0	
2024-06-12 11:28:39	387	705	5	0	0	2	9	0	0	0	9	0	0	5	9	0	0	0	9	0	0	2.598		99.9184	52.6223	0.0795037	0	0.795686	0.143967	14.9983	1		0	12.0616	40.117	0	0	0	
2024-06-12 11:29:16	392	706	9	0	0	4	17	0	0	0	17	0	0	6	17	0	0	0	17	0	0	1.732		99.9177	52.5499	0.124604	0	1.24707	0.0134298	15.6712	1		0	12.0616	39.5972	0	0	0	
2024-06-12 11:28:04	383	707	9	0	0	0	1	0	0	0	1	0	0	4	1	0	0	0	1	0	0	3.464		99.9232	52.7458	0.0561362	0	0.561794	0.0672037	14.1194	1		0	12.0793	40.5069	0	0	0	
2024-06-12 11:29:30	394	708	9	0	0	6	25	0	0	0	25	0	0	7	25	0	0	0	25	0	0	0.866		99.9164	52.9783	0.417101	0	4.1745	0.475997	26.2292	1		0	12.0616	39.4673	0	0	0	
