Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2024-06-22 13:05:40	602	1006	5	0	0	7.75	32	0	0	0	32	0	0	2	32	0	0	0	32	0	0	4.979		99.9367	37.9927	0.0416052	0	0.416315	0.221427	15.0408	1		0	12.0439	38.5577	0	0	0	
2024-06-22 12:59:14	557	1007	9	0	0	5	21	0	0	0	21	0	0	7.5	21	0	0	0	21	0	0	2.165		99.9336	38.2261	0.0895438	0	0.896033	0.242369	14.0749	1		0	12.0439	38.9475	0	0	0	
2024-06-22 13:00:15	564	1008	5	0	0	5	21	0	0	0	21	0	0	6.25	21	0	0	0	21	0	0	1.082		99.9376	38.0272	0.19031	0	1.90429	0.218558	14.9562	1		0	12.0439	38.9475	0	0	0	
2024-06-22 12:55:59	534	1009	1	0	0	3	13	0	0	0	13	0	0	1.75	13	0	0	0	13	0	0	1.082		99.9414	38.4389	0.172603	0	1.72704	0.110291	13.5641	1		0	12.0439	39.8571	0	0	0	
2024-06-22 13:04:40	595	1010	5	0	0	7.75	32	0	0	0	32	0	0	6.75	32	0	0	0	32	0	0	0.866		99.9397	38.0512	0.241141	0	2.41286	0.0958854	15.1605	1		0	12.0439	38.5577	0	0	0	
2024-06-22 13:11:41	644	1011	1	0	0	3.25	14	0	0	0	14	0	0	2.5	14	0	0	0	14	0	0	0.649		99.9391	38.3021	0.295433	0	2.95613	0.00882729	13.9304	1		0	12.0439	38.5577	0	0	0	
2024-06-22 12:57:41	546	1012	9	0	0	4	17	0	0	0	17	0	0	7.5	17	0	0	0	17	0	0	3.031		99.9377	37.611	0.0656948	0	0.657358	0.11409	14.4561	1		0	12.0439	39.3374	0	0	0	
2024-06-22 12:57:33	545	1013	9	0	0	4	17	0	0	0	17	0	0	6.25	17	0	0	0	17	0	0	1.948		99.9424	37.6704	0.101456	0	1.01514	0.111485	14.3513	1		0	12.0439	39.2074	0	0	0	
2024-06-22 12:57:16	543	1014	1	0	0	3	13	0	0	0	13	0	0	3.5	13	0	0	0	13	0	0	0.433		99.9424	38.2599	0.44056	0	4.40814	0.153638	13.8486	1		0	12.0439	39.3374	0	0	0	
2024-06-22 12:54:43	525	1015	5	0	0	2	9	0	0	0	9	0	0	6.75	9	0	0	0	9	0	0	4.113		99.9433	37.6246	0.0526365	0	0.526663	0.0505117	15.7183	1		0	12.0439	40.3769	0	0	0	
2024-06-22 13:03:31	587	1016	5	0	0	7	29	0	0	0	29	0	0	5.75	29	0	0	0	29	0	0	1.082		99.9393	37.8787	0.191264	0	1.9138	0.123237	15.031	1		0	12.0439	38.5577	0	0	0	
2024-06-22 13:02:40	581	1017	5	0	0	7	29	0	0	0	29	0	0	4.5	29	0	0	0	29	0	0	2.165		99.9376	38.0863	0.0904481	0	0.905045	0.0296412	14.2164	1		0	12.0439	38.5577	0	0	0	
2024-06-22 12:52:38	511	1018	5	0	0	1	5	0	0	0	5	0	0	5.25	5	0	0	0	5	0	0	3.68		99.9491	37.3685	0.059349	0	0.593792	0.246078	15.8564	1		0	12.0439	41.4165	0	0	0	
2024-06-22 12:52:17	509	1019	9	0	0	1	5	0	0	0	5	0	0	4	5	0	0	0	5	0	0	2.598		99.95	37.4971	0.0729266	0	0.729631	0.0282844	13.7532	1		0	12.0439	41.6764	0	0	0	
2024-06-22 13:09:59	632	1020	1	0	0	4.75	20	0	0	0	20	0	0	3	20	0	0	0	20	0	0	1.515		99.9364	37.858	0.12431	0	1.24389	0.0549751	13.6773	1		0.0088623	12.0439	38.4277	0	0	0	
2024-06-22 13:02:31	580	1021	5	0	0	6	25	0	0	0	25	0	0	3	25	0	0	0	25	0	0	2.598		99.9428	38.1832	0.0764062	0	0.764499	0.110204	14.4105	1		0	12.0439	38.5577	0	0	0	
2024-06-22 12:55:00	527	1022	1	0	0	2	9	0	0	0	9	0	0	2.25	9	0	0	0	9	0	0	0.216		99.9469	37.8464	0.683776	0	6.84139	0.0692255	10.7464	1		0	12.0439	40.117	0	0	0	
2024-06-22 13:03:56	590	1023	5	0	0	7	29	0	0	0	29	0	0	0.5	29	0	0	0	29	0	0	5.628		99.9417	38.0236	0.0435115	0	0.435368	0.205232	17.7808	1		0	12.0439	38.6876	0	0	0	
2024-06-22 12:51:52	506	1024	5	0	0	0	1	0	0	0	1	0	0	3.5	1	0	0	0	1	0	0	3.031		99.9518	37.6399	0.0673766	0	0.674091	0.486534	14.824	1		0.0088623	12.0439	42.0662	0	0	0	
2024-06-22 13:11:33	643	1025	1	0	0	1.75	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0	1.515		99.9374	38.0825	0.119672	0	1.19747	0.207923	13.1669	1		0.0088623	12.0439	38.4277	0	0	0	
2024-06-22 13:01:49	575	1026	5	0	0	6	25	0	0	0	25	0	0	7	25	0	0	0	25	0	0	0.866		99.9366	37.9299	0.247391	0	2.47548	0.115098	15.5539	1		0	12.0439	38.6876	0	0	0	
2024-06-22 13:10:44	637	1027	1	0	0	6.5	27	0	0	0	27	0	0	1.25	27	0	0	0	27	0	0	4.546		99.9346	37.8914	0.0521113	0	0.521454	0.00826749	17.2011	1		0	12.0439	38.4277	0	0	0	
