Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2024-06-23 09:12:25	648	1341	5	0	0	3	13	0	0	0	13	0	0	5.25	13	0	0	0	13	0	0	1.948		99.9325	39.936	0.098327	0	0.983934	0.058269	13.91	1		0	12.0439	38.0379	0	0	0	
2024-06-23 09:12:17	647	1342	9	0	0	3	13	0	0	0	13	0	0	4	13	0	0	0	13	0	0	0.866		99.9339	39.9489	0.229131	0	2.29283	0.0769441	14.4063	1		0	12.0439	38.0379	0	0	0	
2024-06-23 08:59:58	551	1343	1	0	0	1	5	0	0	0	5	0	0	3	5	0	0	0	5	0	0	1.732		99.9325	39.1308	0.104747	0	1.04817	0.0984279	13.1717	1		0	12.0439	37.6481	0	0	0	
2024-06-23 09:41:42	875	1344	1	0	0	7.75	32	0	0	0	32	0	0	1.5	32	0	0	0	32	0	0	5.412		99.9446	39.6365	0.0397303	0	0.397523	0.0960716	15.6107	2		0	12.0439	39.0775	0	0	0	
2024-06-23 09:34:41	821	1345	5	0	0	6.5	27	0	0	0	27	0	0	1.5	27	0	0	0	27	0	0	4.33		99.9389	39.4378	0.0529881	0	0.530205	0.836901	16.6569	1		0	12.0439	38.9475	0	0	0	
2024-06-23 09:07:15	607	1346	9	0	0	2.25	10	0	0	0	10	0	0	7.25	10	0	0	0	10	0	0	4.33		99.934	39.9405	0.0527981	0	0.52833	0.215313	16.598	1		0	12.0439	37.908	0	0	0	
2024-06-23 09:12:25	648	1347	1	0	0	3	13	0	0	0	13	0	0	2.25	13	0	0	0	13	0	0	0.649		99.9325	39.936	0.291815	0	2.92012	0.218133	13.7607	1		0	12.0439	38.0379	0	0	0	
2024-06-23 09:28:21	772	1348	1	0	0	5.5	23	0	0	0	23	0	0	0.25	23	0	0	0	23	0	0	4.546		99.9419	39.1195	0.0500525	0	0.500816	0.0101282	16.5203	1		0	12.0439	38.6876	0	0	0	
2024-06-23 09:20:33	712	1349	1	0	0	4.25	18	0	0	0	18	0	0	0.25	18	0	0	0	18	0	0	3.464		99.9392	39.5595	0.0579835	0	0.580188	0.26191	14.5817	1		0	12.0439	38.4277	0	0	0	
2024-06-23 08:59:50	550	1350	1	0	0	1	5	0	0	0	5	0	0	1.75	5	0	0	0	5	0	0	0.649		99.9284	39.1189	0.29323	0	2.9344	0.215438	13.8281	1		0	12.0439	37.778	0	0	0	
2024-06-23 08:57:09	528	1351	5	0	0	0.5	3	0	0	0	3	0	0	6.75	3	0	0	0	3	0	0	5.412		99.9243	39.7934	0.0463283	0	0.463635	0.0812841	18.2069	1		0.0088623	12.0439	37.778	0	0	0	
2024-06-23 09:10:55	636	1352	9	0	0	2.75	12	0	0	0	12	0	0	5.75	12	0	0	0	12	0	0	2.598		99.9365	39.3458	0.0741671	0	0.742143	0.246228	13.9891	1		0	12.0439	38.0379	0	0	0	
2024-06-23 09:11:03	637	1353	5	0	0	2.75	12	0	0	0	12	0	0	4.5	12	0	0	0	12	0	0	1.515		99.9331	39.3371	0.123133	0	1.23215	0.0116566	13.5482	1		0	12.0439	38.0379	0	0	0	
2024-06-23 08:58:50	542	1354	1	0	0	0.75	4	0	0	0	4	0	0	3.5	4	0	0	0	4	0	0	2.381		99.9292	39.7935	0.0781022	0	0.781575	0.232751	13.5047	1		0	12.0439	37.6481	0	0	0	
2024-06-23 09:26:41	760	1355	5	0	0	5.25	22	0	0	0	22	0	0	2	22	0	0	0	22	0	0	2.814		99.9431	39.5444	0.0758235	0	0.758667	0.029236	15.4922	1		0.0088623	12.0439	38.5577	0	0	0	
2024-06-23 09:17:57	692	1356	1	0	0	4	17	0	0	0	17	0	0	2	17	0	0	0	17	0	0	1.732		99.9366	39.2163	0.106804	0	1.06871	0.0755297	13.4298	1		0	12.0439	38.2978	0	0	0	
2024-06-23 09:40:26	865	1357	1	0	0	7.5	31	0	0	0	31	0	0	2.75	31	0	0	0	31	0	0	4.113		99.9463	39.4959	0.0499406	0	0.499674	0.145216	14.9128	1		0	12.0439	38.9475	0	0	0	
2024-06-23 09:33:32	812	1358	5	0	0	6.25	26	0	0	0	26	0	0	2.75	26	0	0	0	26	0	0	3.031		99.9419	39.6112	0.0670846	0	0.671236	0.11591	14.7613	1		0	12.0439	38.8176	0	0	0	
2024-06-23 08:53:08	496	1359	1	0	0	0	1	0	0	0	1	0	0	0.5	1	0	0	0	1	0	0	0.433		99.9235	39.2016	0.423223	0	4.23547	0.0785071	13.3061	2		0	11.9375	38.2978	0	0	0	
2024-06-23 08:55:13	512	1360	5	0	0	0.25	2	0	0	0	2	0	0	7.25	2	0	0	0	2	0	0	6.061		99.9252	39.5216	0.0411859	0	0.412167	0.622611	18.1281	1		0	12.0439	37.908	0	0	0	
2024-06-23 09:29:44	783	1361	9	0	0	5.75	24	0	0	0	24	0	0	7.75	24	0	0	0	24	0	0	1.732		99.9388	39.7058	0.114245	0	1.14315	0.0650809	14.3652	1		0	12.0439	38.6876	0	0	0	
2024-06-23 09:29:06	778	1362	9	0	0	5.75	24	0	0	0	24	0	0	6.5	24	0	0	0	24	0	0	0.649		99.9401	39.7829	0.332703	0	3.32902	0.145257	15.6876	1		0	12.0439	38.4277	0	0	0	
2024-06-23 09:21:41	721	1363	5	0	0	4.5	19	0	0	0	19	0	0	7.75	19	0	0	0	19	0	0	2.814		99.9389	39.4731	0.0694733	0	0.695158	0.123863	14.1954	1		0	12.0439	38.5577	0	0	0	
2024-06-23 09:21:33	720	1364	5	0	0	4.5	19	0	0	0	19	0	0	6.5	19	0	0	0	19	0	0	1.732		99.9421	39.4899	0.114427	0	1.14493	0.016553	14.3876	1		0	12.0439	38.5577	0	0	0	
2024-06-23 09:31:51	799	1365	1	0	0	6	25	0	0	0	25	0	0	3.25	25	0	0	0	25	0	0	2.381		99.9386	39.5273	0.0821649	0	0.822154	0.108018	14.2058	1		0	12.0439	38.8176	0	0	0	
2024-06-23 09:23:14	733	1366	1	0	0	4.75	20	0	0	0	20	0	0	3.25	20	0	0	0	20	0	0	1.299		99.9406	39.3218	0.146644	0	1.46731	0.238055	13.8291	1		0	12.0439	38.5577	0	0	0	
2024-06-23 09:12:10	646	1367	1	0	0	3	13	0	0	0	13	0	0	2.75	13	0	0	0	13	0	0	0.216		99.9361	39.9601	0.676118	0	6.76551	0.272598	10.6272	1		0	12.0439	38.0379	0	0	0	
2024-06-23 09:42:39	882	1368	1	0	0	7.75	32	0	0	0	32	0	0	0.25	32	0	0	0	32	0	0	6.494		99.9459	39.6434	0.0343557	0	0.343743	0.25582	16.1985	1		0	12.0439	39.0775	0	0	0	
2024-06-23 09:35:04	824	1369	1	0	0	6.5	27	0	0	0	27	0	0	0.25	27	0	0	0	27	0	0	5.412		99.9371	39.41	0.0431398	0	0.43167	0.647228	16.9516	1		0	12.0439	38.8176	0	0	0	
2024-06-23 09:06:39	602	1370	5	0	0	2	9	0	0	0	9	0	0	1.75	9	0	0	0	9	0	0	0.216		99.9318	39.317	0.662438	0	6.6289	0.249523	10.4127	1		0	12.0439	37.908	0	0	0	
