Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2024-06-28 19:48:56	932	1676	1	0	0	7.75	32	0	0	0	32	0	0	2	32	0	0	0	32	0	0	4.979		99.9242	43.217	0.042335	0	0.423671	0.187654	15.3065	1		0	12.0439	37.2582	0	0	0	
2024-06-28 19:43:58	895	1677	5	0	0	5	21	0	0	0	21	0	0	7.5	21	0	0	0	21	0	0	2.165		99.9244	44.3292	0.0908924	0	0.909612	0.0283332	14.2882	1		0	12.0439	37.6481	0	0	0	
2024-06-28 19:43:15	890	1678	9	0	0	5	21	0	0	0	21	0	0	6.25	21	0	0	0	21	0	0	1.082		99.9249	44.3223	0.191842	0	1.91986	0.29328	15.0786	1		0	12.0439	37.778	0	0	0	
2024-06-28 19:41:11	873	1679	5	0	0	3	13	0	0	0	13	0	0	1.75	13	0	0	0	13	0	0	1.082		99.9277	44.5944	0.173146	0	1.73271	0.14366	13.6087	1		0	12.0439	38.2978	0	0	0	
2024-06-28 19:48:48	931	1680	9	0	0	7.75	32	0	0	0	32	0	0	6.75	32	0	0	0	32	0	0	0.866		99.926	43.2327	0.25073	0	2.50916	0.161903	15.7655	1		0	12.0439	37.2582	0	0	0	
2024-06-28 19:54:42	976	1681	1	0	0	3.25	14	0	0	0	14	0	0	2.5	14	0	0	0	14	0	0	0.649		99.9265	44.5656	0.296769	0	2.96987	0.38237	13.9952	1		0	12.0439	37.2582	0	0	0	
2024-06-28 19:42:03	880	1682	5	0	0	4	17	0	0	0	17	0	0	7.5	17	0	0	0	17	0	0	3.031		99.9252	44.3621	0.0664766	0	0.665263	0.152245	14.6299	1		0	12.0439	38.0379	0	0	0	
2024-06-28 19:42:24	883	1683	5	0	0	4	17	0	0	0	17	0	0	6.25	17	0	0	0	17	0	0	1.948		99.9297	44.3659	0.102068	0	1.0214	0.172189	14.4397	1		0	11.9552	38.0379	0	0	0	
2024-06-28 19:41:18	874	1684	1	0	0	3	13	0	0	0	13	0	0	3.5	13	0	0	0	13	0	0	0.433		99.9296	44.5805	0.480287	0	4.80625	0.145091	15.0993	1		0	12.0439	38.2978	0	0	0	
2024-06-28 19:39:13	858	1685	9	0	0	2	9	0	0	0	9	0	0	6.75	9	0	0	0	9	0	0	4.113		99.9353	43.8591	0.0536159	0	0.536506	0.100542	16.0121	1		0.0088623	12.0439	39.0775	0	0	0	
2024-06-28 19:46:46	915	1686	9	0	0	7	29	0	0	0	29	0	0	5.75	29	0	0	0	29	0	0	1.082		99.9239	43.3957	0.186002	0	1.86144	0.216007	14.6197	1		0	12.0439	37.3882	0	0	0	
2024-06-28 19:47:23	920	1687	5	0	0	7	29	0	0	0	29	0	0	4.5	29	0	0	0	29	0	0	2.165		99.9303	43.4056	0.0913245	0	0.913882	0.354065	14.3552	1		0	12.0439	37.3882	0	0	0	
2024-06-28 19:37:35	845	1688	9	0	0	1	5	0	0	0	5	0	0	5.25	5	0	0	0	5	0	0	3.68		99.9353	43.4818	0.0669538	0	0.669972	0.588314	17.8906	1		0	12.0439	40.117	0	0	0	
2024-06-28 19:37:57	848	1689	9	0	0	1	5	0	0	0	5	0	0	4	5	0	0	0	5	0	0	2.598		99.9358	43.481	0.0734553	0	0.735024	0.196385	13.8549	1		0	12.0439	39.8571	0	0	0	
2024-06-28 19:53:07	964	1690	1	0	0	4.75	20	0	0	0	20	0	0	3	20	0	0	0	20	0	0	1.515		99.9276	44.1438	0.124957	0	1.25047	0.189231	13.7497	1		0	12.0439	37.1283	0	0	0	
2024-06-28 19:46:03	910	1691	5	0	0	6	25	0	0	0	25	0	0	3	25	0	0	0	25	0	0	2.598		99.9253	44.247	0.0777961	0	0.778543	0.388085	14.6752	1		0	12.0439	37.3882	0	0	0	
2024-06-28 19:39:55	863	1692	1	0	0	2	9	0	0	0	9	0	0	2.25	9	0	0	0	9	0	0	0.216		99.9336	43.8922	0.894851	0	8.95445	0.0868612	14.0656	1		0.0088623	12.0439	38.8176	0	0	0	
2024-06-28 19:47:16	919	1693	1	0	0	7	29	0	0	0	29	0	0	0.5	29	0	0	0	29	0	0	5.628		99.9252	43.4031	0.0428498	0	0.428819	0.1279	17.5133	1		0	12.0439	37.2582	0	0	0	
2024-06-28 19:36:28	837	1694	5	0	0	0	1	0	0	0	1	0	0	3.5	1	0	0	0	1	0	0	3.031		99.945	43.7738	0.0713921	0	0.714314	0.541577	15.7086	1		0	12.0439	40.8967	0	0	0	
2024-06-28 19:54:34	975	1695	1	0	0	1.75	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0	1.515		99.9259	44.5192	0.123353	0	1.23444	0.0582826	13.5734	1		0	12.0439	37.2582	0	0	0	
2024-06-28 19:45:06	903	1696	5	0	0	6	25	0	0	0	25	0	0	7	25	0	0	0	25	0	0	0.866		99.927	44.2422	0.246849	0	2.4703	0.0264856	15.5213	2		0	12.0439	37.5181	0	0	0	
