Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2024-06-24 10:56:09	932	1676	1	0	0	7.75	32	0	0	0	32	0	0	2	32	0	0	0	32	0	0	4.979		99.9444	42.3156	0.0415223	0	0.415454	0.0412554	15.0096	1		0	12.0439	38.6876	0	0	0	
2024-06-24 10:50:26	893	1677	9	0	0	5	21	0	0	0	21	0	0	7.5	21	0	0	0	21	0	0	2.165		99.9483	42.2087	0.0887182	0	0.887641	0.104913	13.943	1		0	12.0439	39.0775	0	0	0	
2024-06-24 10:51:15	899	1678	5	0	0	5	21	0	0	0	21	0	0	6.25	21	0	0	0	21	0	0	1.082		99.944	42.2579	0.180334	0	1.80436	0.0144615	14.1714	1		0	12.0439	38.9475	0	0	0	
2024-06-24 10:47:56	876	1679	5	0	0	3	13	0	0	0	13	0	0	1.75	13	0	0	0	13	0	0	1.082		99.9485	42.5045	0.163961	0	1.64045	0.0415503	12.8841	1		0	12.0439	39.5972	0	0	0	
2024-06-24 10:56:27	934	1680	5	0	0	7.75	32	0	0	0	32	0	0	6.75	32	0	0	0	32	0	0	0.866		99.9408	42.1672	0.232272	0	2.3241	0.00240303	14.6027	1		0	12.0439	38.6876	0	0	0	
2024-06-24 11:02:56	978	1681	1	0	0	3.25	14	0	0	0	14	0	0	2.5	14	0	0	0	14	0	0	0.649		99.9464	42.5308	0.279127	0	2.79277	0.2017	13.1606	1		0	12.0439	38.8176	0	0	0	
2024-06-24 10:48:49	882	1682	5	0	0	4	17	0	0	0	17	0	0	7.5	17	0	0	0	17	0	0	3.031		99.9455	41.8061	0.0651734	0	0.65209	0.0976851	14.3402	1		0	12.0439	39.3374	0	0	0	
2024-06-24 10:48:49	882	1683	1	0	0	4	17	0	0	0	17	0	0	6.25	17	0	0	0	17	0	0	1.948		99.9455	41.8061	0.0989053	0	0.989592	0.158551	13.99	1		0	12.0439	39.3374	0	0	0	
2024-06-24 10:47:06	870	1684	1	0	0	3	13	0	0	0	13	0	0	3.5	13	0	0	0	13	0	0	0.433		99.946	42.3869	0.431296	0	4.31529	0.141968	13.5569	1		0	12.0439	39.5972	0	0	0	
2024-06-24 10:45:14	857	1685	5	0	0	2	9	0	0	0	9	0	0	6.75	9	0	0	0	9	0	0	4.113		99.9582	41.7226	0.0527017	0	0.527237	0.310147	15.7355	1		0	12.0439	40.6368	0	0	0	
2024-06-24 10:54:43	922	1686	9	0	0	7	29	0	0	0	29	0	0	5.75	29	0	0	0	29	0	0	1.082		99.9426	42.2969	0.180842	0	1.80945	0.0596659	14.2114	1		0	12.0439	38.6876	0	0	0	
2024-06-24 10:54:08	918	1687	5	0	0	7	29	0	0	0	29	0	0	4.5	29	0	0	0	29	0	0	2.165		99.9428	42.2694	0.0892576	0	0.893087	0.101324	14.0286	1		0	12.0439	38.6876	0	0	0	
2024-06-24 10:44:05	849	1688	5	0	0	1	5	0	0	0	5	0	0	5.25	5	0	0	0	5	0	0	3.68		99.9599	41.1698	0.0612599	0	0.612844	0.440678	16.3651	1		0	12.0439	41.1566	0	0	0	
2024-06-24 10:43:55	848	1689	5	0	0	1	5	0	0	0	5	0	0	4	5	0	0	0	5	0	0	2.598		99.9559	41.2525	0.0722294	0	0.722613	0.0133435	13.6209	1		0	12.0439	41.2865	0	0	0	
2024-06-24 11:01:13	966	1690	1	0	0	4.75	20	0	0	0	20	0	0	3	20	0	0	0	20	0	0	1.515		99.9441	41.9126	0.120095	0	1.20162	0.191191	13.2125	1		0	12.0439	38.6876	0	0	0	
2024-06-24 10:53:43	915	1691	5	0	0	6	25	0	0	0	25	0	0	3	25	0	0	0	25	0	0	2.598		99.9454	42.2811	0.076449	0	0.764908	0.0233095	14.4182	1		0	12.0439	38.6876	0	0	0	
2024-06-24 10:46:32	866	1692	1	0	0	2	9	0	0	0	9	0	0	2.25	9	0	0	0	9	0	0	0.216		99.9505	41.773	0.724464	0	7.24822	0.162224	11.3855	1		0	12.0439	39.9871	0	0	0	
2024-06-24 10:55:17	926	1693	1	0	0	7	29	0	0	0	29	0	0	0.5	29	0	0	0	29	0	0	5.628		99.943	42.2228	0.0428652	0	0.428896	0.738382	17.5164	1		0	12.0439	38.6876	0	0	0	
2024-06-24 10:41:51	834	1694	1	0	0	0	1	0	0	0	1	0	0	3.5	1	0	0	0	1	0	0	3.031		99.9564	41.4258	0.0680346	0	0.680643	0.344822	14.9681	1		0	12.0439	42.9758	0	0	0	
2024-06-24 11:02:48	977	1695	1	0	0	1.75	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0	1.515		99.9443	42.1349	0.116494	0	1.16558	0.125586	12.8163	1		0	12.0439	38.8176	0	0	0	
2024-06-24 10:52:45	909	1696	9	0	0	6	25	0	0	0	25	0	0	7	25	0	0	0	25	0	0	0.866		99.9442	42.3251	0.233526	0	2.33656	0.116633	14.6811	1		0	12.0439	38.8176	0	0	0	
2024-06-24 11:01:58	971	1697	1	0	0	6.5	27	0	0	0	27	0	0	1.25	27	0	0	0	27	0	0	4.546		99.9413	42.1964	0.0523201	0	0.523509	0.557978	17.2688	1		0	12.0439	38.8176	0	0	0	
2024-06-24 10:56:27	934	1698	1	0	0	7.75	32	0	0	0	32	0	0	1.25	32	0	0	0	32	0	0	5.628		99.9408	42.1672	0.0390289	0	0.390521	0.434547	15.9491	1		0	12.0439	38.6876	0	0	0	
2024-06-24 10:50:50	896	1699	5	0	0	5	21	0	0	0	21	0	0	5.5	21	0	0	0	21	0	0	0.433		99.9463	42.406	0.449124	0	4.49365	0.308705	14.1172	1		0	12.0439	39.0775	0	0	0	
2024-06-24 10:50:14	892	1700	5	0	0	5	21	0	0	0	21	0	0	4.25	21	0	0	0	21	0	0	0.649		99.9437	42.2494	0.299189	0	2.99357	0.0267001	14.1069	2		0	12.0439	39.0775	0	0	0	
2024-06-24 10:48:04	877	1701	5	0	0	3	13	0	0	0	13	0	0	1	13	0	0	0	13	0	0	1.732		99.945	42.5636	0.102385	0	1.02441	0.0706991	12.8732	1		0	12.0439	39.5972	0	0	0	
2024-06-24 10:44:22	851	1702	1	0	0	1	5	0	0	0	5	0	0	2	5	0	0	0	5	0	0	0.866		99.9562	41.2668	0.201298	0	2.01386	0.0735428	12.6535	1		0	12.0439	41.0267	0	0	0	
2024-06-24 10:58:14	946	1703	9	0	0	1.75	8	0	0	0	8	0	0	6	8	0	0	0	8	0	0	3.68		99.9386	42.1365	0.061738	0	0.617759	0.126904	16.4964	2		0	12.0439	38.6876	0	0	0	
2024-06-24 10:49:49	889	1704	5	0	0	4	17	0	0	0	17	0	0	2.25	17	0	0	0	17	0	0	1.515		99.9437	41.7665	0.117275	0	1.17341	0.102466	12.9023	1		0	12.0439	39.0775	0	0	0	
2024-06-24 10:56:09	932	1705	5	0	0	7.75	32	0	0	0	32	0	0	6	32	0	0	0	32	0	0	1.515		99.9444	42.3156	0.127535	0	1.27606	0.196738	14.0311	1		0	12.0439	38.6876	0	0	0	
2024-06-24 10:55:52	930	1706	5	0	0	7.75	32	0	0	0	32	0	0	4.75	32	0	0	0	32	0	0	2.598		99.9457	42.2029	0.0735084	0	0.735484	0.217957	13.8635	1		0	12.0439	38.6876	0	0	0	
2024-06-24 10:53:32	914	1707	1	0	0	6	25	0	0	0	25	0	0	2	25	0	0	0	25	0	0	3.464		99.9412	42.2137	0.0649683	0	0.650065	0.0469375	16.3379	2		0	12.0439	38.8176	0	0	0	
2024-06-24 10:48:23	879	1708	9	0	0	4	17	0	0	0	17	0	0	5.5	17	0	0	0	17	0	0	1.299		99.9474	41.9404	0.149244	0	1.49322	0.0358785	14.0733	1		0	12.0439	39.4673	0	0	0	
2024-06-24 10:49:24	886	1709	5	0	0	4	17	0	0	0	17	0	0	4.25	17	0	0	0	17	0	0	0.216		99.9445	41.7319	0.838932	0	8.39397	0.0339833	13.1852	1		0	12.0439	39.2074	0	0	0	
2024-06-24 10:42:46	840	1710	1	0	0	0	1	0	0	0	1	0	0	1.75	1	0	0	0	1	0	0	1.515		99.9582	41.3729	0.116926	0	1.16975	0.02154	12.8621	1		0	12.0439	42.0662	0	0	0	
2024-06-24 11:04:02	986	1711	1	0	0	3.75	16	0	0	4	16	0	0	3.5	16	0	0	4.25	16	0	0	0.13		99.95	18.7656	0.587421	0	5.87715	0.0230016	9.2318	1		0.0088623	12.0439	38.8176	0	0	0	
2024-06-24 10:47:23	872	1712	1	0	0	3	13	0	0	0	13	0	0	2.75	13	0	0	0	13	0	0	0.216		99.9452	42.3595	0.723645	0	7.24042	0.169434	11.3732	1		0	12.0439	39.7272	0	0	0	
2024-06-24 10:44:56	855	1713	5	0	0	2	9	0	0	0	9	0	0	6	9	0	0	0	9	0	0	3.464		99.9546	41.6719	0.0647792	0	0.648086	0.00744968	16.2882	1		0	12.0439	40.5069	0	0	0	
2024-06-24 10:45:41	860	1714	5	0	0	2	9	0	0	0	9	0	0	4.75	9	0	0	0	9	0	0	2.381		99.9512	41.6021	0.0812873	0	0.813269	0.00417394	14.0523	1		0	12.0439	40.3769	0	0	0	
2024-06-24 10:54:27	920	1715	5	0	0	7	29	0	0	0	29	0	0	5	29	0	0	0	29	0	0	1.732		99.9392	42.19	0.110013	0	1.1008	0.121461	13.8331	1		0	12.0439	38.6876	0	0	0	
2024-06-24 10:53:59	917	1716	1	0	0	7	29	0	0	0	29	0	0	3.75	29	0	0	0	29	0	0	2.814		99.9491	42.425	0.0701671	0	0.702028	0.0112896	14.3357	1		0	12.0439	38.8176	0	0	0	
2024-06-24 10:44:31	852	1717	5	0	0	1	5	0	0	0	5	0	0	3.25	5	0	0	0	5	0	0	1.948		99.9516	41.1841	0.0922258	0	0.922705	0.0466593	13.0444	1		0	12.0439	40.8967	0	0	0	
