Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2024-06-25 08:17:51	808	1676	9	0	0	3	13	0	0	0	13	0	0	5.25	13	0	0	0	13	0	0	1.948		99.9618	40.3173	0.0962459	0	0.962827	0.170933	13.6116	1		0	12.0616	40.8967	0	0	0	
2024-06-25 08:18:13	811	1677	5	0	0	3	13	0	0	0	13	0	0	4	13	0	0	0	13	0	0	0.866		99.9614	40.3185	0.210759	0	2.10841	0.0602181	13.2475	1		0	12.0616	40.8967	0	0	0	
2024-06-25 08:04:58	711	1678	1	0	0	1	5	0	0	0	5	0	0	3	5	0	0	0	5	0	0	1.732		99.9699	39.1873	0.103399	0	1.0343	0.150693	12.9974	1		0	12.0616	41.4165	0	0	0	
2024-06-25 08:47:57	1037	1679	1	0	0	7.75	32	0	0	0	32	0	0	1.5	32	0	0	0	32	0	0	5.412		99.977	39.8884	0.0390499	0	0.390589	0.144412	15.3384	1		0.0088623	12.0616	42.0662	0	0	0	
2024-06-25 08:40:26	981	1680	1	0	0	6.5	27	0	0	0	27	0	0	1.5	27	0	0	0	27	0	0	4.33		99.9728	39.767	0.0531218	0	0.531363	0.234273	16.6933	2		0.0088623	12.0616	41.8063	0	0	0	
2024-06-25 08:13:23	774	1681	5	0	0	2.25	10	0	0	0	10	0	0	7.25	10	0	0	0	10	0	0	4.33		99.9589	40.103	0.0540254	0	0.540476	0.01216	16.9795	1		0.0088623	12.0616	40.7668	0	0	0	
2024-06-25 08:18:50	816	1682	5	0	0	3	13	0	0	0	13	0	0	2.25	13	0	0	0	13	0	0	0.649		99.9616	40.3345	0.272789	0	2.72894	0.0644102	12.8598	1		0	12.0616	40.8967	0	0	0	
2024-06-25 08:34:17	935	1683	1	0	0	5.5	23	0	0	0	23	0	0	0.25	23	0	0	0	23	0	0	4.546		99.9677	39.3873	0.0501434	0	0.501596	0.0729276	16.546	1		0	12.0616	41.5464	0	0	0	
2024-06-25 08:25:24	868	1684	1	0	0	4.25	18	0	0	0	18	0	0	0.25	18	0	0	0	18	0	0	3.464		99.9617	39.7666	0.0576691	0	0.576912	0.180306	14.4994	1		0	12.0616	41.1566	0	0	0	
2024-06-25 08:05:57	719	1685	1	0	0	1	5	0	0	0	5	0	0	1.75	5	0	0	0	5	0	0	0.649		99.9632	39.1647	0.276319	0	2.76421	0.0713153	13.026	1		0	12.0616	41.1566	0	0	0	
2024-06-25 08:02:17	689	1686	9	0	0	0.5	3	0	0	0	3	0	0	6.75	3	0	0	0	3	0	0	5.412		99.9699	39.8308	0.0484197	0	0.484343	0.697862	19.0201	1		0	12.0616	42.1962	0	0	0	
2024-06-25 08:16:41	799	1687	5	0	0	2.75	12	0	0	0	12	0	0	5.75	12	0	0	0	12	0	0	2.598		99.9643	39.6548	0.0732208	0	0.732469	0.24128	13.8067	1		0	12.0616	40.7668	0	0	0	
2024-06-25 08:16:10	795	1688	9	0	0	2.75	12	0	0	0	12	0	0	4.5	12	0	0	0	12	0	0	1.515		99.9561	39.6691	0.117509	0	1.1756	0.074206	12.9264	1		0	12.0616	40.7668	0	0	0	
2024-06-25 08:03:31	699	1689	1	0	0	0.75	4	0	0	0	4	0	0	3.5	4	0	0	0	4	0	0	2.381		99.965	39.854	0.0773081	0	0.773352	0.0931405	13.3626	1		0	12.0616	41.8063	0	0	0	
2024-06-25 08:32:25	922	1690	1	0	0	5.25	22	0	0	0	22	0	0	2	22	0	0	0	22	0	0	2.814		99.9606	39.7234	0.0791537	0	0.791848	0.224557	16.1698	1		0	12.0616	41.4165	0	0	0	
2024-06-25 08:24:47	863	1691	5	0	0	4	17	0	0	0	17	0	0	2	17	0	0	0	17	0	0	1.732		99.962	39.6608	0.103541	0	1.0358	0.0105617	13.0163	1		0	12.0616	41.1566	0	0	0	
2024-06-25 08:47:28	1033	1692	1	0	0	7.5	31	0	0	0	31	0	0	2.75	31	0	0	0	31	0	0	4.113		99.9803	39.6018	0.0496139	0	0.496237	0.0224988	14.8102	1		0	12.0616	41.9363	0	0	0	
2024-06-25 08:38:05	964	1693	1	0	0	6.25	26	0	0	0	26	0	0	2.75	26	0	0	0	26	0	0	3.031		99.9731	39.9604	0.0674514	0	0.674696	0.0131329	14.8373	1		0	12.0616	41.6764	0	0	0	
2024-06-25 07:59:15	664	1694	1	0	0	0	1	0	0	0	1	0	0	0.5	1	0	0	0	1	0	0	0.433		99.9797	39.3991	0.411369	0	4.11453	0.0411178	12.9262	1		0	12.0616	44.1454	0	0	0	
2024-06-25 08:01:11	680	1695	9	0	0	0.25	2	0	0	0	2	0	0	7.25	2	0	0	0	2	0	0	6.061		99.968	39.549	0.0411768	0	0.4119	0.0636399	18.1163	1		0	12.0616	42.7159	0	0	0	
2024-06-25 08:35:17	943	1696	5	0	0	5.75	24	0	0	0	24	0	0	7.75	24	0	0	0	24	0	0	1.732		99.9705	40.0276	0.112125	0	1.12158	0.0991081	14.0942	1		0.0088623	12.0616	41.6764	0	0	0	
2024-06-25 08:34:46	939	1697	5	0	0	5.75	24	0	0	0	24	0	0	6.5	24	0	0	0	24	0	0	0.649		99.9727	40.0774	0.311923	0	3.12008	0.150836	14.703	1		0.0088623	12.0616	41.4165	0	0	0	
2024-06-25 08:26:54	880	1698	9	0	0	4.5	19	0	0	0	19	0	0	7.75	19	0	0	0	19	0	0	2.814		99.9637	39.6954	0.0700344	0	0.700599	0.160164	14.3065	1		0	12.0616	41.1566	0	0	0	
2024-06-25 08:27:23	884	1699	9	0	0	4.5	19	0	0	0	19	0	0	6.5	19	0	0	0	19	0	0	1.732		99.9657	39.6661	0.112101	0	1.1214	0.0129974	14.0919	1		0	12.0616	41.1566	0	0	0	
2024-06-25 08:36:54	956	1700	1	0	0	6	25	0	0	0	25	0	0	3.25	25	0	0	0	25	0	0	2.381		99.9715	39.9422	0.0813399	0	0.813631	0.106892	14.0585	1		0	12.0616	41.6764	0	0	0	
