Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2024-06-10 22:34:32	1537	3514	1	0	0	7.75	32	0	0	0	32	0	0	2	32	0	0	0	32	0	0	4.979		99.9132	47.0681	0.0423683	0	0.424051	0.692733	15.3202	1		0	12.0705	35.439	0	0	0	
2024-06-10 22:28:59	1499	3515	5	0	0	5	21	0	0	0	21	0	0	7.5	21	0	0	0	21	0	0	2.165		99.911	47.3641	0.104283	0	1.04376	0.0451184	16.3954	2		0	12.0705	35.9588	0	0	0	
2024-06-10 22:29:09	1500	3516	9	0	0	5	21	0	0	0	21	0	0	6.25	21	0	0	0	21	0	0	1.082		99.9101	47.3657	0.266673	0	2.66913	0.108802	20.9633	2		0	12.0705	35.9588	0	0	0	
2024-06-10 22:25:25	1472	3517	1	0	0	3	13	0	0	0	13	0	0	1.75	13	0	0	0	13	0	0	1.082		99.9157	47.1766	0.200638	0	2.00808	0.130968	15.7714	2		0	12.0705	36.7384	0	0	0	
2024-06-10 22:34:24	1536	3518	5	0	0	7.75	32	0	0	0	32	0	0	6.75	32	0	0	0	32	0	0	0.866		99.9064	47.0542	0.285042	0	2.85309	0.429076	17.9265	1		0	12.0705	35.439	0	0	0	
2024-06-10 22:41:01	1581	3519	1	0	0	3.25	14	0	0	0	14	0	0	2.5	14	0	0	0	14	0	0	0.649		99.9133	46.6624	0.367669	0	3.67988	0.281593	17.341	2		0	12.0705	35.439	0	0	0	
2024-06-10 22:26:50	1483	3520	5	0	0	4	17	0	0	0	17	0	0	7.5	17	0	0	0	17	0	0	3.031		99.9129	46.5001	0.0642556	0	0.643117	0.0404056	14.1429	1		0	11.973	36.3486	0	0	0	
2024-06-10 22:27:19	1487	3521	9	0	0	4	17	0	0	0	17	0	0	6.25	17	0	0	0	17	0	0	1.948		99.9101	46.5435	0.101891	0	1.01983	0.0173951	14.4175	1		0	12.0616	36.2187	0	0	0	
2024-06-10 22:26:12	1478	3522	5	0	0	3	13	0	0	0	13	0	0	3.5	13	0	0	0	13	0	0	0.433		99.9168	47.2098	0.578906	0	5.79389	0.834275	18.202	1		0	12.0705	36.4785	0	0	0	
2024-06-10 22:24:32	1465	3523	9	0	0	2	9	0	0	0	9	0	0	6.75	9	0	0	0	9	0	0	4.113		99.9151	46.6579	0.050603	0	0.50646	0.64701	15.1154	1		0.0088623	12.0705	37.1283	0	0	0	
2024-06-10 22:32:08	1520	3524	5	0	0	7	29	0	0	0	29	0	0	5.75	29	0	0	0	29	0	0	1.082		99.9062	46.5525	0.240805	0	2.41031	0.266619	18.9305	2		0	12.0705	35.5689	0	0	0	
2024-06-10 22:32:39	1523	3525	9	0	0	7	29	0	0	0	29	0	0	4.5	29	0	0	0	29	0	0	2.165		99.9082	46.6144	0.0958717	0	0.959598	0.270467	15.0733	1		0	12.0705	35.5689	0	0	0	
