Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2024-06-10 09:42:56	102	1	1	0	0	7.75	32	0	0	0	32	0	0	2	32	0	0	0	32	0	0	4.979		99.9094	44.1723	0.0421616	0	0.421999	0.0874259	15.2461	1		0	12.0616	35.9588	0	0	0	
2024-06-10 09:37:34	64	2	5	0	0	5	21	0	0	0	21	0	0	7.5	21	0	0	0	21	0	0	2.165		99.9113	44.4396	0.103152	0	1.03243	0.0575088	16.2174	2		0	12.0616	36.7384	0	0	0	
2024-06-10 09:38:11	68	3	5	0	0	5	21	0	0	0	21	0	0	6.25	21	0	0	0	21	0	0	1.082		99.9114	44.4202	0.277385	0	2.77631	0.0792069	21.8051	2		0	11.973	36.4785	0	0	0	
2024-06-10 09:35:25	48	4	1	0	0	3	13	0	0	0	13	0	0	1.75	13	0	0	0	13	0	0	1.082		99.912	43.9073	0.205946	0	2.06128	0.659234	16.1892	1		0	12.0705	37.3882	0	0	0	
2024-06-10 09:42:49	101	5	5	0	0	7.75	32	0	0	0	32	0	0	6.75	32	0	0	0	32	0	0	0.866		99.9088	44.1958	0.286928	0	2.8719	0.323366	18.0447	1		0	12.0705	35.8288	0	0	0	
2024-06-10 09:49:32	148	6	1	0	0	3.25	14	0	0	0	14	0	0	2.5	14	0	0	0	14	0	0	0.649		99.9173	44.102	0.378007	0	3.7832	0.285594	17.8279	2		0.0088623	12.0616	35.8288	0	0	0	
2024-06-10 09:36:18	55	7	5	0	0	4	17	0	0	0	17	0	0	7.5	17	0	0	0	17	0	0	3.031		99.9097	43.2793	0.0636459	0	0.637034	0.253489	14.0091	1		0	12.0616	36.9983	0	0	0	
2024-06-10 09:35:56	52	8	5	0	0	4	17	0	0	0	17	0	0	6.25	17	0	0	0	17	0	0	1.948		99.9005	43.3449	0.103226	0	1.03329	0.336275	14.6078	1		0	12.0705	37.2582	0	0	0	
2024-06-10 09:34:47	43	9	1	0	0	3	13	0	0	0	13	0	0	3.5	13	0	0	0	13	0	0	0.433		99.9134	43.9277	0.589471	0	5.89982	0.797064	18.5348	1		0	12.0705	37.6481	0	0	0	
2024-06-10 09:32:53	28	10	5	0	0	2	9	0	0	0	9	0	0	6.75	9	0	0	0	9	0	0	4.113		99.9079	43.2523	0.0511689	0	0.51216	0.74612	15.2855	1		0	11.973	38.5577	0	0	0	
2024-06-10 09:40:55	87	11	9	0	0	7	29	0	0	0	29	0	0	5.75	29	0	0	0	29	0	0	1.082		99.91	43.8506	0.249364	0	2.49589	0.162646	19.6027	2		0	12.0705	35.9588	0	0	0	
2024-06-10 09:41:31	91	12	9	0	0	7	29	0	0	0	29	0	0	4.5	29	0	0	0	29	0	0	2.165		99.9117	43.8529	0.0956432	0	0.957277	0.0497964	15.0369	2		0	12.0705	35.9588	0	0	0	
2024-06-10 09:31:02	14	13	1	0	0	1	5	0	0	0	5	0	0	5.25	5	0	0	0	5	0	0	3.68		99.9061	43.2875	0.0705631	0	0.706294	0.106801	18.8606	1		0	12.0705	39.8571	0	0	0	
2024-06-10 09:30:47	13	14	5	0	0	1	5	0	0	0	5	0	0	4	5	0	0	0	5	0	0	2.598		99.9052	43.207	0.0808445	0	0.809212	0.28111	15.2533	4		0	12.0705	40.117	0	0	0	
2024-06-10 09:47:37	136	15	1	0	0	4.75	20	0	0	0	20	0	0	3	20	0	0	0	20	0	0	1.515		99.9222	44.1063	0.137003	0	1.3711	0.91179	15.076	1		0	12.0616	35.8288	0	0	0	
2024-06-10 09:39:09	75	16	1	0	0	6	25	0	0	0	25	0	0	3	25	0	0	0	25	0	0	2.598		99.9095	44.0641	0.0778355	0	0.77906	0.263837	14.6849	2		0	12.0705	36.3486	0	0	0	
