Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2024-06-10 10:13:49	316	336	9	0	0	3	13	0	0	0	13	0	0	5.25	13	0	0	0	13	0	0	1.948		99.9324	44.4535	0.114895	0	1.14973	0.432106	16.2539	1		0	12.0616	36.7384	0	0	0	
2024-06-10 10:13:20	312	337	9	0	0	3	13	0	0	0	13	0	0	4	13	0	0	0	13	0	0	0.866		99.9277	44.4466	0.265637	0	2.6583	0.43256	16.7026	1		0	12.0705	36.7384	0	0	0	
2024-06-10 10:00:23	214	338	1	0	0	1	5	0	0	0	5	0	0	3	5	0	0	0	5	0	0	1.732		99.9204	43.643	0.121217	0	1.21313	0.937116	15.2447	1		0	12.0705	36.4785	0	0	0	
2024-06-10 10:45:34	544	339	1	0	0	7.75	32	0	0	0	32	0	0	1.5	32	0	0	0	32	0	0	5.412		99.9372	44.6767	0.038058	0	0.380819	0.099514	14.9547	1		0	12.0705	37.5181	0	0	0	
2024-06-10 10:37:26	484	340	1	0	0	6.5	27	0	0	0	27	0	0	1.5	27	0	0	0	27	0	0	4.33		99.9407	44.5826	0.04645	0	0.464776	0.0544486	14.6014	1		0	12.0705	37.2582	0	0	0	
2024-06-10 10:08:51	279	341	5	0	0	2.25	10	0	0	0	10	0	0	7.25	10	0	0	0	10	0	0	4.33		99.928	44.329	0.0500384	0	0.500744	0.286125	15.7313	1		0	12.0705	36.6085	0	0	0	
2024-06-10 10:14:29	321	342	1	0	0	3	13	0	0	0	13	0	0	2.25	13	0	0	0	13	0	0	0.649		99.9313	44.4375	0.386746	0	3.87012	0.789755	18.2375	1		0	12.0705	36.7384	0	0	0	
2024-06-10 10:29:49	432	343	1	0	0	5.5	23	0	0	0	23	0	0	0.25	23	0	0	0	23	0	0	4.546		99.9364	44.7503	0.0438237	0	0.438516	0.443902	14.4652	2		0	12.0705	37.1283	0	0	0	
2024-06-10 10:21:00	371	344	1	0	0	4.25	18	0	0	0	18	0	0	0.25	18	0	0	0	18	0	0	3.464		99.9324	44.3721	0.0558872	0	0.55925	0.159374	14.0555	2		0	12.0705	36.9983	0	0	0	
2024-06-10 10:01:42	224	345	1	0	0	1	5	0	0	0	5	0	0	1.75	5	0	0	0	5	0	0	0.649		99.9211	43.5359	0.38565	0	3.85954	0.813521	18.1877	1		0	12.0705	36.4785	0	0	0	
