Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2024-06-11 12:34:28	1103	2011	1	0	0	7.75	32	0	0	0	32	0	0	2	32	0	0	0	32	0	0	4.979		99.9114	49.1024	0.0423519	0	0.423895	0.14881	15.3146	1		0	12.0705	35.8288	0	0	0	
2024-06-11 12:28:16	1057	2012	5	0	0	5	21	0	0	0	21	0	0	7.5	21	0	0	0	21	0	0	2.165		99.9129	49.5425	0.103272	0	1.03362	0.362404	16.2361	2		0	12.0705	36.3486	0	0	0	
2024-06-11 12:28:55	1061	2013	5	0	0	5	21	0	0	0	21	0	0	6.25	21	0	0	0	21	0	0	1.082		99.9106	49.6846	0.261373	0	2.61607	0.63826	20.5466	1		0	12.0705	36.2187	0	0	0	
2024-06-11 12:26:03	1039	2014	1	0	0	3	13	0	0	0	13	0	0	1.75	13	0	0	0	13	0	0	1.082		99.9203	49.3329	0.199874	0	2.00034	0.650844	15.7106	1		0	12.0705	36.9983	0	0	0	
2024-06-11 12:33:30	1095	2015	9	0	0	7.75	32	0	0	0	32	0	0	6.75	32	0	0	0	32	0	0	0.866		99.9122	49.137	0.28168	0	2.81928	0.50167	17.714	1		0	12.0616	35.8288	0	0	0	
2024-06-11 12:40:07	1142	2016	1	0	0	3.25	14	0	0	0	14	0	0	2.5	14	0	0	0	14	0	0	0.649		99.9121	48.388	0.376641	0	3.76972	0.0966114	17.7644	2		0	12.0705	35.9588	0	0	0	
2024-06-11 12:26:46	1045	2017	9	0	0	4	17	0	0	0	17	0	0	7.5	17	0	0	0	17	0	0	3.031		99.915	48.6575	0.0640806	0	0.641351	0.357345	14.1041	1		0	12.0705	36.6085	0	0	0	
2024-06-11 12:27:23	1050	2018	9	0	0	4	17	0	0	0	17	0	0	6.25	17	0	0	0	17	0	0	1.948		99.9164	48.7693	0.100241	0	1.00325	0.051798	14.1831	1		0	12.0616	36.6085	0	0	0	
2024-06-11 12:25:16	1033	2019	1	0	0	3	13	0	0	0	13	0	0	3.5	13	0	0	0	13	0	0	0.433		99.9159	49.3311	0.576273	0	5.76758	0.239569	18.1194	2		0	12.0705	37.2582	0	0	0	
2024-06-11 12:24:12	1025	2020	9	0	0	2	9	0	0	0	9	0	0	6.75	9	0	0	0	9	0	0	4.113		99.9234	48.6966	0.0507597	0	0.507986	0.100653	15.1609	2		0	12.0705	37.6481	0	0	0	
2024-06-11 12:31:56	1083	2021	5	0	0	7	29	0	0	0	29	0	0	5.75	29	0	0	0	29	0	0	1.082		99.9127	48.6995	0.238501	0	2.38709	0.549848	18.7482	1		0	12.0705	35.9588	0	0	0	
2024-06-11 12:31:56	1083	2022	9	0	0	7	29	0	0	0	29	0	0	4.5	29	0	0	0	29	0	0	2.165		99.9127	48.6995	0.0949558	0	0.950388	0.0656578	14.9287	1		0	12.0705	35.9588	0	0	0	
2024-06-11 12:22:14	1010	2023	5	0	0	1	5	0	0	0	5	0	0	5.25	5	0	0	0	5	0	0	3.68		99.9265	48.9046	0.0659383	0	0.659868	0.628309	17.6208	1		0	12.0616	38.8176	0	0	0	
2024-06-11 12:22:54	1015	2024	5	0	0	1	5	0	0	0	5	0	0	4	5	0	0	0	5	0	0	2.598		99.9223	48.9258	0.0799127	0	0.799748	0.0714161	15.0749	1		0	11.973	38.2978	0	0	0	
2024-06-11 12:38:25	1130	2025	1	0	0	4.75	20	0	0	0	20	0	0	3	20	0	0	0	20	0	0	1.515		99.9151	48.5051	0.134236	0	1.3435	0.948409	14.7725	1		0	12.0705	35.9588	0	0	0	
2024-06-11 12:31:16	1078	2026	5	0	0	6	25	0	0	0	25	0	0	3	25	0	0	0	25	0	0	2.598		99.9119	48.8754	0.0766412	0	0.767087	0.254092	14.4593	1		0	11.973	35.9588	0	0	0	
2024-06-11 12:24:22	1026	2027	1	0	0	2	9	0	0	0	9	0	0	2.25	9	0	0	0	9	0	0	0.216		99.9225	48.7721	0.991816	0	9.92586	0.578788	15.5915	1		0.0088623	12.0616	37.5181	0	0	0	
2024-06-11 12:32:36	1088	2028	1	0	0	7	29	0	0	0	29	0	0	0.5	29	0	0	0	29	0	0	5.628		99.9154	48.6797	0.0412137	0	0.412486	0.5099	16.8462	1		0	12.0616	35.9588	0	0	0	
2024-06-11 12:21:22	1004	2029	5	0	0	0	1	0	0	0	1	0	0	3.5	1	0	0	0	1	0	0	3.031		99.9301	49.4533	0.0796062	0	0.796619	0.490201	17.5186	2		0	12.0705	39.4673	0	0	0	
2024-06-11 12:39:59	1141	2030	1	0	0	1.75	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0	1.515		99.9155	48.5457	0.13139	0	1.31501	0.652441	14.4593	1		0	12.0705	35.9588	0	0	0	
2024-06-11 12:30:54	1075	2031	5	0	0	6	25	0	0	0	25	0	0	7	25	0	0	0	25	0	0	0.866		99.9149	48.9037	0.291476	0	2.91724	0.708231	18.3296	1		0	12.0705	35.9588	0	0	0	
2024-06-11 12:39:10	1135	2032	1	0	0	6.5	27	0	0	0	27	0	0	1.25	27	0	0	0	27	0	0	4.546		99.9139	48.5383	0.062216	0	0.622696	0.0814491	20.5407	2		0	12.0705	35.9588	0	0	0	
2024-06-11 12:34:21	1102	2033	5	0	0	7.75	32	0	0	0	32	0	0	1.25	32	0	0	0	32	0	0	5.628		99.9125	49.1007	0.0389466	0	0.389807	0.695771	15.92	1		0	11.973	35.8288	0	0	0	
2024-06-11 12:29:02	1062	2034	5	0	0	5	21	0	0	0	21	0	0	5.5	21	0	0	0	21	0	0	0.433		99.9125	49.5282	0.911784	0	9.12582	0.206824	28.6696	2		0	12.0705	36.2187	0	0	0	
2024-06-11 12:28:05	1056	2035	5	0	0	5	21	0	0	0	21	0	0	4.25	21	0	0	0	21	0	0	0.649		99.9132	49.5711	0.406842	0	4.07196	0.461512	19.1886	2		0	12.0705	36.4785	0	0	0	
2024-06-11 12:26:17	1041	2036	5	0	0	3	13	0	0	0	13	0	0	1	13	0	0	0	13	0	0	1.732		99.9146	49.2824	0.116206	0	1.16306	0.259794	14.6154	1		0	12.0705	36.8684	0	0	0	
2024-06-11 12:23:15	1018	2037	1	0	0	1	5	0	0	0	5	0	0	2	5	0	0	0	5	0	0	0.866		99.9246	48.8922	0.256582	0	2.56776	0.347547	16.1337	1		0	12.0616	38.1678	0	0	0	
2024-06-11 12:35:28	1110	2038	9	0	0	1.75	8	0	0	0	8	0	0	6	8	0	0	0	8	0	0	3.68		99.9161	48.7475	0.0610773	0	0.611286	0.0159792	16.3235	1		0	12.0705	35.8288	0	0	0	
2024-06-11 12:27:23	1050	2039	1	0	0	4	17	0	0	0	17	0	0	2.25	17	0	0	0	17	0	0	1.515		99.9164	48.7693	0.128239	0	1.28346	0.0603216	14.1124	1		0	12.0616	36.6085	0	0	0	
2024-06-11 12:34:00	1099	2040	5	0	0	7.75	32	0	0	0	32	0	0	6	32	0	0	0	32	0	0	1.515		99.9198	49.1165	0.155811	0	1.55936	0.276146	17.146	1		0	12.0616	35.9588	0	0	0	
2024-06-11 12:33:23	1094	2041	9	0	0	7.75	32	0	0	0	32	0	0	4.75	32	0	0	0	32	0	0	2.598		99.9132	49.0942	0.0850995	0	0.851735	0.00285853	16.0548	1		0	12.0705	35.8288	0	0	0	
2024-06-11 12:30:20	1071	2042	1	0	0	6	25	0	0	0	25	0	0	2	25	0	0	0	25	0	0	3.464		99.9128	48.8324	0.0620084	0	0.620625	0.273926	15.598	2		0	12.0616	35.8288	0	0	0	
2024-06-11 12:27:15	1049	2043	9	0	0	4	17	0	0	0	17	0	0	5.5	17	0	0	0	17	0	0	1.299		99.9159	48.6563	0.185429	0	1.85585	0.0320602	17.4909	1		0	12.0705	36.6085	0	0	0	
2024-06-11 12:27:23	1050	2044	5	0	0	4	17	0	0	0	17	0	0	4.25	17	0	0	0	17	0	0	0.216		99.9164	48.7693	0.870845	0	8.71574	0.356147	13.6906	1		0	12.0616	36.6085	0	0	0	
2024-06-11 12:21:39	1006	2045	5	0	0	0	1	0	0	0	1	0	0	1.75	1	0	0	0	1	0	0	1.515		99.9283	49.4414	0.130181	0	1.30274	0.356369	14.3244	1		0	12.0705	39.3374	0	0	0	
2024-06-11 12:41:22	1150	2046	1	0	0	3.75	16	0	0	4	16	0	0	3.5	16	0	0	4.25	16	0	0	0.13		99.9212	18.9199	0.71927	0	7.19837	0.334989	11.3072	1		0	11.973	35.9588	0	0	0	
2024-06-11 12:25:33	1035	2047	1	0	0	3	13	0	0	0	13	0	0	2.75	13	0	0	0	13	0	0	0.216		99.9219	49.344	1.00506	0	10.0585	0.838528	15.7999	1		0	12.0616	36.9983	0	0	0	
2024-06-11 12:24:05	1024	2048	5	0	0	2	9	0	0	0	9	0	0	6	9	0	0	0	9	0	0	3.464		99.9256	48.8264	0.0666842	0	0.667339	0.281243	16.7721	1		0	12.0705	37.6481	0	0	0	
2024-06-11 12:23:30	1020	2049	5	0	0	2	9	0	0	0	9	0	0	4.75	9	0	0	0	9	0	0	2.381		99.9245	48.784	0.0894521	0	0.895197	0.0517229	15.4679	2		0	12.0705	38.0379	0	0	0	
2024-06-11 12:32:03	1084	2050	9	0	0	7	29	0	0	0	29	0	0	5	29	0	0	0	29	0	0	1.732		99.91	48.8005	0.134747	0	1.34868	0.151005	16.948	1		0	12.0705	35.9588	0	0	0	
2024-06-11 12:31:56	1083	2051	1	0	0	7	29	0	0	0	29	0	0	3.75	29	0	0	0	29	0	0	2.814		99.9127	48.6995	0.0695465	0	0.696073	0.0637754	14.2141	1		0	12.0705	35.9588	0	0	0	
2024-06-11 12:23:08	1017	2052	1	0	0	1	5	0	0	0	5	0	0	3.25	5	0	0	0	5	0	0	1.948		99.9254	48.9219	0.103264	0	1.03341	0.308693	14.6095	1		0	11.973	38.2978	0	0	0	
2024-06-11 12:35:00	1107	2053	9	0	0	2.75	12	0	0	0	12	0	0	5	12	0	0	0	12	0	0	1.948		99.9132	48.2513	0.10661	0	1.06702	0.00659254	15.0847	2		0	11.973	35.8288	0	0	0	
2024-06-11 12:29:19	1064	2054	1	0	0	5	21	0	0	0	21	0	0	1.75	21	0	0	0	21	0	0	2.814		99.9131	49.591	0.0723496	0	0.724125	0.29068	14.7869	1		0	12.0705	36.2187	0	0	0	
2024-06-11 12:24:12	1025	2055	1	0	0	2	9	0	0	0	9	0	0	1.5	9	0	0	0	9	0	0	0.433		99.9234	48.6966	0.548908	0	5.49329	0.0661292	17.2577	2		0	12.0705	37.6481	0	0	0	
2024-06-11 12:21:32	1005	2056	5	0	0	0	1	0	0	0	1	0	0	2.75	1	0	0	0	1	0	0	2.381		99.9281	49.453	0.111706	0	1.11786	0.198162	19.3153	1		0	12.0705	39.4673	0	0	0	
2024-06-11 12:34:54	1106	2057	9	0	0	3.25	14	0	0	0	14	0	0	4.5	14	0	0	0	14	0	0	1.082		99.9123	48.6988	0.198597	0	1.98771	0.656377	15.6115	1		0	12.0616	35.9588	0	0	0	
2024-06-11 12:25:41	1036	2058	5	0	0	3	13	0	0	0	13	0	0	6.75	13	0	0	0	13	0	0	3.247		99.9153	49.3619	0.0633275	0	0.633812	0.245911	14.9338	1		0	12.0705	36.9983	0	0	0	
2024-06-11 12:22:21	1011	2059	5	0	0	1	5	0	0	0	5	0	0	7.25	5	0	0	0	5	0	0	5.412		99.9267	48.9641	0.064509	0	0.645563	0.869056	25.3512	2		0	12.0705	38.8176	0	0	0	
2024-06-11 12:29:58	1069	2060	5	0	0	6	25	0	0	0	25	0	0	7.5	25	0	0	0	25	0	0	1.299		99.9141	48.8737	0.177497	0	1.77649	0.185207	16.743	2		0	12.0705	35.9588	0	0	0	
2024-06-11 12:30:40	1073	2061	9	0	0	6	25	0	0	0	25	0	0	6.25	25	0	0	0	25	0	0	0.216		99.9128	48.933	1.07669	0	10.7763	0.958828	16.9273	1		0	12.0616	35.9588	0	0	0	
2024-06-11 12:34:00	1099	2062	1	0	0	7.75	32	0	0	0	32	0	0	0.5	32	0	0	0	32	0	0	6.278		99.9198	49.1165	0.0367605	0	0.3679	0.104316	16.759	1		0	12.0616	35.9588	0	0	0	
