Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2024-06-12 14:41:20	973	3016	5	0	0	3	13	0	0	0	13	0	0	5.25	13	0	0	0	13	0	0	1.948		99.9559	52.8484	0.101649	0	1.01694	0.365533	14.3766	1		0	12.0616	38.9475	0	0	0	
2024-06-12 14:41:42	976	3017	9	0	0	3	13	0	0	0	13	0	0	4	13	0	0	0	13	0	0	0.866		99.956	52.8457	0.253845	0	2.53957	0.421017	15.9566	1		0	12.0616	38.8176	0	0	0	
2024-06-12 14:30:13	886	3018	1	0	0	1	5	0	0	0	5	0	0	3	5	0	0	0	5	0	0	1.732		99.9524	52.1671	0.109347	0	1.09399	0.450407	13.7475	1		0	11.9552	39.3374	0	0	0	
2024-06-12 15:11:48	1209	3019	5	0	0	7.75	32	0	0	0	32	0	0	1.5	32	0	0	0	32	0	0	5.412		99.9617	52.7484	0.0385742	0	0.38589	0.533877	15.1538	1		0	12.0616	39.3374	0	0	0	
2024-06-12 15:03:24	1144	3020	1	0	0	6.5	27	0	0	0	27	0	0	1.5	27	0	0	0	27	0	0	4.33		99.9562	52.5695	0.0518727	0	0.518954	0.0692123	16.3034	1		0	12.0616	39.2074	0	0	0	
2024-06-12 14:37:13	941	3021	5	0	0	2.25	10	0	0	0	10	0	0	7.25	10	0	0	0	10	0	0	4.33		99.9543	52.9887	0.055303	0	0.553283	0.597463	17.3819	1		0	12.0616	38.8176	0	0	0	
2024-06-12 14:41:35	975	3022	1	0	0	3	13	0	0	0	13	0	0	2.25	13	0	0	0	13	0	0	0.649		99.9531	52.8905	0.356528	0	3.56695	0.614689	16.8089	1		0	12.0616	38.9475	0	0	0	
2024-06-12 14:57:49	1101	3023	5	0	0	5.5	23	0	0	0	23	0	0	0.25	23	0	0	0	23	0	0	4.546		99.9621	52.5405	0.0514236	0	0.514431	0.0143682	16.9694	1		0	12.0616	39.2074	0	0	0	
2024-06-12 14:49:39	1038	3024	1	0	0	4.25	18	0	0	0	18	0	0	0.25	18	0	0	0	18	0	0	3.464		99.9573	52.8177	0.0585001	0	0.585251	0.118332	14.709	1		0	12.0439	39.0775	0	0	0	
2024-06-12 14:29:25	880	3025	1	0	0	1	5	0	0	0	5	0	0	1.75	5	0	0	0	5	0	0	0.649		99.9502	51.8985	0.348835	0	3.49009	0.0104884	16.4466	2		0	12.0616	39.3374	0	0	0	
2024-06-12 14:26:27	856	3026	5	0	0	0.5	3	0	0	0	3	0	0	6.75	3	0	0	0	3	0	0	5.412		99.9491	52.9116	0.0512592	0	0.512853	0.427792	20.1397	1		0	12.0616	40.117	0	0	0	
2024-06-12 14:39:46	961	3027	9	0	0	2.75	12	0	0	0	12	0	0	5.75	12	0	0	0	12	0	0	2.598		99.9581	52.3452	0.0759377	0	0.759695	0.0706202	14.3199	1		0.0088623	12.0616	38.8176	0	0	0	
2024-06-12 14:40:17	965	3028	5	0	0	2.75	12	0	0	0	12	0	0	4.5	12	0	0	0	12	0	0	1.515		99.9579	52.4072	0.12776	0	1.27814	0.233156	14.0539	1		0	12.0616	38.9475	0	0	0	
2024-06-12 14:27:51	867	3029	1	0	0	0.75	4	0	0	0	4	0	0	3.5	4	0	0	0	4	0	0	2.381		99.9541	52.9241	0.0791593	0	0.791957	0.263231	13.684	1		0	12.0616	39.8571	0	0	0	
2024-06-12 14:55:54	1087	3030	1	0	0	5.25	22	0	0	0	22	0	0	2	22	0	0	0	22	0	0	2.814		99.9602	52.7368	0.0794028	0	0.794344	0.0706323	16.2208	2		0.0088623	12.0616	39.0775	0	0	0	
2024-06-12 14:48:24	1028	3031	5	0	0	4	17	0	0	0	17	0	0	2	17	0	0	0	17	0	0	1.732		99.9519	52.3707	0.110933	0	1.10986	0.248177	13.947	1		0	12.0616	39.0775	0	0	0	
2024-06-12 15:09:14	1190	3032	1	0	0	7.5	31	0	0	0	31	0	0	2.75	31	0	0	0	31	0	0	4.113		99.9588	52.6978	0.0507713	0	0.507922	0.0144176	15.159	2		0	12.0616	39.3374	0	0	0	
2024-06-12 15:02:46	1139	3033	1	0	0	6.25	26	0	0	0	26	0	0	2.75	26	0	0	0	26	0	0	3.031		99.9609	52.8781	0.0677005	0	0.67727	0.146142	14.8939	1		0	12.0616	39.3374	0	0	0	
2024-06-12 14:23:15	832	3034	1	0	0	0	1	0	0	0	1	0	0	0.5	1	0	0	0	1	0	0	0.433		99.9508	52.8014	0.531438	0	5.317	0.00259548	16.7038	2		0	12.0616	41.6764	0	0	0	
2024-06-12 14:24:57	844	3035	5	0	0	0.25	2	0	0	0	2	0	0	7.25	2	0	0	0	2	0	0	6.061		99.9525	52.9246	0.0428977	0	0.429181	0.492572	18.8764	1		0.0088623	12.0616	40.7668	0	0	0	
2024-06-12 14:58:23	1105	3036	5	0	0	5.75	24	0	0	0	24	0	0	7.75	24	0	0	0	24	0	0	1.732		99.9596	52.8928	0.118626	0	1.18674	0.279085	14.913	1		0	12.0616	39.0775	0	0	0	
2024-06-12 14:58:45	1108	3037	5	0	0	5.75	24	0	0	0	24	0	0	6.5	24	0	0	0	24	0	0	0.649		99.9584	52.9368	0.388476	0	3.88638	0.506682	18.3141	1		0	12.0616	39.2074	0	0	0	
2024-06-12 14:51:10	1050	3038	5	0	0	4.5	19	0	0	0	19	0	0	7.75	19	0	0	0	19	0	0	2.814		99.9569	52.6573	0.0724697	0	0.72501	0.106887	14.805	1		0	12.0616	39.0775	0	0	0	
2024-06-12 14:50:40	1046	3039	5	0	0	4.5	19	0	0	0	19	0	0	6.5	19	0	0	0	19	0	0	1.732		99.9597	52.7214	0.121917	0	1.21966	0.259299	15.3267	1		0	12.0616	39.0775	0	0	0	
2024-06-12 15:00:42	1123	3040	1	0	0	6	25	0	0	0	25	0	0	3.25	25	0	0	0	25	0	0	2.381		99.9578	52.7392	0.0858457	0	0.85882	0.647665	14.8393	1		0	12.0616	39.0775	0	0	0	
2024-06-12 14:53:06	1065	3041	5	0	0	4.75	20	0	0	0	20	0	0	3.25	20	0	0	0	20	0	0	1.299		99.9545	52.603	0.156388	0	1.56459	0.759782	14.7459	1		0	12.0616	39.0775	0	0	0	
2024-06-12 14:41:09	972	3042	1	0	0	3	13	0	0	0	13	0	0	2.75	13	0	0	0	13	0	0	0.216		99.9563	52.65	0.928278	0	9.28684	0.0962134	14.5877	2		0	11.9552	38.8176	0	0	0	
2024-06-12 15:11:33	1207	3043	1	0	0	7.75	32	0	0	0	32	0	0	0.25	32	0	0	0	32	0	0	6.494		99.963	52.861	0.0329561	0	0.329683	0.817933	15.5359	1		0	12.0616	39.4673	0	0	0	
2024-06-12 15:04:01	1149	3044	1	0	0	6.5	27	0	0	0	27	0	0	0.25	27	0	0	0	27	0	0	5.412		99.9607	52.6604	0.042458	0	0.424748	0.0233534	16.6798	1		0	12.0616	39.3374	0	0	0	
2024-06-12 14:35:28	927	3045	1	0	0	2	9	0	0	0	9	0	0	1.75	9	0	0	0	9	0	0	0.216		99.9534	52.3193	0.915259	0	9.15685	0.777357	14.3836	1		0	12.0616	38.9475	0	0	0	
2024-06-12 14:57:08	1096	3046	9	0	0	5.5	23	0	0	0	23	0	0	7	23	0	0	0	23	0	0	1.299		99.9628	52.5715	0.165283	0	1.65345	0.0474454	15.5834	1		0	12.0616	39.0775	0	0	0	
2024-06-12 14:49:39	1038	3047	5	0	0	4.25	18	0	0	0	18	0	0	7	18	0	0	0	18	0	0	2.381		99.9573	52.8177	0.086308	0	0.863449	0.0352599	14.9193	1		0	12.0439	39.0775	0	0	0	
2024-06-12 14:36:44	937	3048	5	0	0	2.25	10	0	0	0	10	0	0	6	10	0	0	0	10	0	0	3.247		99.9499	53.0658	0.0660771	0	0.661102	0.390732	15.5769	1		0	12.0616	38.9475	0	0	0	
2024-06-12 14:36:35	936	3049	9	0	0	2.25	10	0	0	0	10	0	0	4.75	10	0	0	0	10	0	0	2.165		99.9521	52.9869	0.0904084	0	0.904517	0.272655	14.2081	1		0.0088623	12.0616	38.8176	0	0	0	
