Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2024-06-12 14:08:37	764	2346	1	0	0	7.75	32	0	0	0	32	0	0	2	32	0	0	0	32	0	0	4.979		99.9393	52.7339	0.0417137	0	0.417391	0.300212	15.0796	1		0	12.0616	38.5577	0	0	0	
2024-06-12 14:03:17	723	2347	9	0	0	5	21	0	0	0	21	0	0	7.5	21	0	0	0	21	0	0	2.165		99.9483	52.9323	0.0938033	0	0.938519	0.158482	14.7422	1		0	12.0616	39.0775	0	0	0	
2024-06-12 14:03:31	725	2348	9	0	0	5	21	0	0	0	21	0	0	6.25	21	0	0	0	21	0	0	1.082		99.9464	53.015	0.2072	0	2.07311	0.575073	16.2821	1		0	12.0616	39.0775	0	0	0	
2024-06-12 14:00:12	699	2349	1	0	0	3	13	0	0	0	13	0	0	1.75	13	0	0	0	13	0	0	1.082		99.943	52.9145	0.188004	0	1.88112	0.255589	14.7743	2		0	12.0616	40.117	0	0	0	
2024-06-12 14:08:37	764	2350	9	0	0	7.75	32	0	0	0	32	0	0	6.75	32	0	0	0	32	0	0	0.866		99.9393	52.7339	0.257503	0	2.5766	0.289349	16.1892	1		0	12.0616	38.5577	0	0	0	
2024-06-12 14:14:37	809	2351	1	0	0	3.25	14	0	0	0	14	0	0	2.5	14	0	0	0	14	0	0	0.649		99.9491	52.3171	0.334635	0	3.34805	0.489005	15.7773	2		0	12.0616	38.2978	0	0	0	
2024-06-12 14:02:40	718	2352	5	0	0	4	17	0	0	0	17	0	0	7.5	17	0	0	0	17	0	0	3.031		99.9468	52.5482	0.0697761	0	0.698133	0.0891545	15.3527	1		0	12.0616	39.2074	0	0	0	
2024-06-12 14:01:43	711	2353	9	0	0	4	17	0	0	0	17	0	0	6.25	17	0	0	0	17	0	0	1.948		99.9383	52.4016	0.103816	0	1.0388	0.0267895	14.6856	2		0	12.0616	39.5972	0	0	0	
2024-06-12 14:01:28	709	2354	1	0	0	3	13	0	0	0	13	0	0	3.5	13	0	0	0	13	0	0	0.433		99.9412	53.1194	0.537522	0	5.37839	0.517126	16.8967	1		0	12.0616	39.5972	0	0	0	
2024-06-12 13:59:17	692	2355	9	0	0	2	9	0	0	0	9	0	0	6.75	9	0	0	0	9	0	0	4.113		99.94	52.6988	0.054433	0	0.544657	0.0828217	16.2554	1		0	12.0616	40.5069	0	0	0	
2024-06-12 14:06:31	748	2356	5	0	0	7	29	0	0	0	29	0	0	5.75	29	0	0	0	29	0	0	1.082		99.9418	52.3599	0.199074	0	1.9919	0.699939	15.6443	1		0	12.0616	38.6876	0	0	0	
2024-06-12 14:07:18	754	2357	5	0	0	7	29	0	0	0	29	0	0	4.5	29	0	0	0	29	0	0	2.165		99.9436	52.3416	0.090098	0	0.901488	0.150166	14.1605	1		0	12.0616	38.4277	0	0	0	
2024-06-12 13:57:04	675	2358	9	0	0	1	5	0	0	0	5	0	0	5.25	5	0	0	0	5	0	0	3.68		99.9437	52.7737	0.0639276	0	0.639636	0.0829494	17.0805	2		0	11.9552	41.2865	0	0	0	
2024-06-12 13:57:51	681	2359	9	0	0	1	5	0	0	0	5	0	0	4	5	0	0	0	5	0	0	2.598		99.9412	52.6382	0.0742554	0	0.742991	0.213136	14.005	1		0	12.0616	41.0267	0	0	0	
2024-06-12 14:12:58	797	2360	1	0	0	4.75	20	0	0	0	20	0	0	3	20	0	0	0	20	0	0	1.515		99.9448	52.3697	0.129273	0	1.29345	0.476613	14.2222	1		0	12.0439	38.2978	0	0	0	
2024-06-12 14:06:09	745	2361	1	0	0	6	25	0	0	0	25	0	0	3	25	0	0	0	25	0	0	2.598		99.9434	52.6481	0.07947	0	0.79515	0.177551	14.9882	1		0	12.0616	38.6876	0	0	0	
2024-06-12 13:58:37	687	2362	1	0	0	2	9	0	0	0	9	0	0	2.25	9	0	0	0	9	0	0	0.216		99.9382	52.7181	0.949314	0	9.499	0.761961	14.921	1		0	12.0616	40.7668	0	0	0	
2024-06-12 14:07:18	754	2363	1	0	0	7	29	0	0	0	29	0	0	0.5	29	0	0	0	29	0	0	5.628		99.9436	52.3416	0.0444901	0	0.445152	0.0158265	18.1803	1		0	12.0616	38.4277	0	0	0	
