Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2024-06-06 02:33:29	436	793	1	0	0	1	5	0	0	0	5	0	0	3	5	0	0	0	5	0	0	1.732		99.9253	44.1819	0.0938063	0	0.938765	0.737285	11.7969	1		0	12.1325	41.4165	0	45.6273	-73.3823	
2024-06-06 02:33:58	440	794	9	0	0	3	13	0	0	0	13	0	0	4	13	0	0	0	13	0	0	0.866		99.9264	45.3654	0.184313	0	1.84448	0.0868319	11.5892	1		0	12.1502	41.0267	0	45.6273	-73.3823	
2024-06-06 02:33:50	439	795	5	0	0	3	13	0	0	0	13	0	0	7	13	0	0	0	13	0	0	3.464		99.9222	45.3685	0.0719462	0	0.720022	0.16163	18.0961	1		0	12.1414	41.1566	0	45.6273	-73.3823	
2024-06-06 02:33:36	437	796	1	0	0	2	9	0	0	0	9	0	0	3	9	0	0	0	9	0	0	0.866		99.925	44.3717	0.192794	0	1.92939	0.0285625	12.1227	1		0	12.1325	41.2865	0	45.6273	-73.3823	
2024-06-06 02:33:50	439	797	9	0	0	3	13	0	0	0	13	0	0	5	13	0	0	0	13	0	0	1.732		99.9222	45.3685	0.0995267	0	0.996042	0.135753	12.5166	1		0	12.1414	41.1566	0	45.6273	-73.3823	
2024-06-06 02:32:51	433	798	1	0	0	0	1	0	0	0	1	0	0	2	1	0	0	0	1	0	0	1.732		99.9233	44.8171	0.247871	0	2.48061	5.55434	31.1723	4		0	12.1148	41.9363	0	45.6273	-73.3823	
2024-06-06 02:33:36	437	799	5	0	0	2	9	0	0	0	9	0	0	6	9	0	0	0	9	0	0	3.464		99.925	44.3717	0.0618149	0	0.618613	0.147933	15.5474	1		0	12.1325	41.2865	0	45.6273	-73.3823	
2024-06-06 02:34:19	443	800	5	0	0	5	21	0	0	0	21	0	0	6	21	0	0	0	21	0	0	0.866		99.9257	45.0911	0.229881	0	2.30052	0.0268832	14.4546	1		0	12.0439	40.7668	0	45.6273	-73.3823	
2024-06-06 02:34:12	442	801	9	0	0	4	17	0	0	0	17	0	0	7	17	0	0	0	17	0	0	2.598		99.9263	43.7736	0.092922	0	0.929905	0.199524	17.5283	1		0	12.1414	40.8967	0	45.6273	-73.3823	
2024-06-06 02:34:05	441	802	5	0	0	4	17	0	0	0	17	0	0	5	17	0	0	0	17	0	0	0.866		99.928	43.8116	0.19805	0	1.98193	0.0436982	12.4528	1		0	12.1325	40.8967	0	45.6273	-73.3823	
2024-06-06 02:33:19	435	803	1	0	0	1	5	0	0	0	5	0	0	2	5	0	0	0	5	0	0	0.866		99.9223	44.1995	0.187821	0	1.87967	0.284236	11.8103	2		0	12.1414	41.6764	0	45.6273	-73.3823	
2024-06-06 02:32:51	433	804	5	0	0	0	1	0	0	0	1	0	0	3	1	0	0	0	1	0	0	2.598		99.9233	44.8171	0.0672752	0	0.673269	0.136569	12.6908	4		0	12.1148	41.9363	0	45.6273	-73.3823	
2024-06-06 02:33:19	435	805	9	0	0	1	5	0	0	0	5	0	0	4	5	0	0	0	5	0	0	2.598		99.9223	44.1995	0.0663157	0	0.663673	0.768529	12.5099	2		0	12.1414	41.6764	0	45.6273	-73.3823	
2024-06-06 02:33:36	437	806	9	0	0	2	9	0	0	0	9	0	0	4	9	0	0	0	9	0	0	1.732		99.925	44.3717	0.0957874	0	0.958593	0.0159712	12.046	1		0	12.1325	41.2865	0	45.6273	-73.3823	
2024-06-06 02:33:19	435	807	5	0	0	1	5	0	0	0	5	0	0	5	5	0	0	0	5	0	0	3.464		99.9223	44.1995	0.0555166	0	0.555598	0.891643	13.9637	2		0	12.1414	41.6764	0	45.6273	-73.3823	
2024-06-06 02:33:58	440	808	5	0	0	3	13	0	0	0	13	0	0	6	13	0	0	0	13	0	0	2.598		99.9264	45.3654	0.0775427	0	0.775999	0.063614	14.6272	1		0	12.1502	41.0267	0	45.6273	-73.3823	
2024-06-06 02:33:12	434	809	1	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0.866		99.9247	44.8517	0.185675	0	1.85815	0.0595985	11.6751	1		0.0088623	12.1502	41.8063	0	45.6273	-73.3823	
2024-06-06 02:34:19	443	810	9	0	0	5	21	0	0	0	21	0	0	7	21	0	0	0	21	0	0	1.732		99.9257	45.0911	0.14254	0	1.42646	0.0271482	17.9254	1		0	12.0439	40.7668	0	45.6273	-73.3823	
2024-06-06 02:33:43	438	811	9	0	0	2	9	0	0	0	9	0	0	5	9	0	0	0	9	0	0	2.598		99.9228	44.3341	0.0717649	0	0.718203	0.0392592	13.5378	1		0	12.1414	41.1566	0	45.6273	-73.3823	
2024-06-06 02:34:05	441	812	9	0	0	4	17	0	0	0	17	0	0	6	17	0	0	0	17	0	0	1.732		99.928	43.8116	0.112312	0	1.12393	0.162708	14.1237	1		0	12.1325	40.8967	0	45.6273	-73.3823	
2024-06-06 02:32:51	433	813	9	0	0	0	1	0	0	0	1	0	0	4	1	0	0	0	1	0	0	3.464		99.9233	44.8171	0.0634507	0	0.634995	0.153494	15.9592	4		0	12.1148	41.9363	0	45.6273	-73.3823	
2024-06-06 02:34:26	444	814	9	0	0	6	25	0	0	0	25	0	0	7	25	0	0	0	25	0	0	0.866		99.9276	45.0332	0.342477	0	3.42725	0.24909	21.534	1		0	12.1325	40.5069	0	45.6273	-73.3823	
