Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2024-06-17 22:20:36	1924	3686	1	0	0	7.75	32	0	0	0	32	0	0	2	32	0	0	0	32	0	0	4.979		100.039	95.6623	0.0416168	0	0.416005	0.0932213	15.0295	1		0.0088623	12.0616	48.0437	0	0	0	
2024-06-17 22:15:02	1887	3687	9	0	0	5	21	0	0	0	21	0	0	7.5	21	0	0	0	21	0	0	2.165		100.041	96.4145	0.0898737	0	0.898371	0.28027	14.1116	1		0	12.0616	48.3036	0	0	0	
2024-06-17 22:15:27	1890	3688	5	0	0	5	21	0	0	0	21	0	0	6.25	21	0	0	0	21	0	0	1.082		100.047	97.6714	0.192441	0	1.9235	0.0970529	15.1072	1		0.0088623	12.0705	48.4336	0	0	0	
2024-06-17 22:11:28	1863	3689	1	0	0	3	13	0	0	0	13	0	0	1.75	13	0	0	0	13	0	0	1.082		100.051	99.2567	0.174682	0	1.74593	0.196864	13.7125	1		0	12.0705	48.9533	0	0	0	
2024-06-17 22:20:19	1922	3690	5	0	0	7.75	32	0	0	0	32	0	0	6.75	32	0	0	0	32	0	0	0.866		100.042	96.0235	0.244304	0	2.44201	0.153644	15.3436	1		0.0088623	12.0616	48.0437	0	0	0	
2024-06-17 22:27:11	1969	3691	1	0	0	3.25	14	0	0	0	14	0	0	2.5	14	0	0	0	14	0	0	0.649		100.042	92.1356	0.304432	0	3.04306	0.270089	14.3401	1		0.0088623	12.0705	47.9138	0	0	0	
2024-06-17 22:13:05	1874	3692	9	0	0	4	17	0	0	0	17	0	0	7.5	17	0	0	0	17	0	0	3.031		100.046	97.9451	0.06587	0	0.658396	0.254744	14.4789	1		0.0088623	12.0705	48.6935	0	0	0	
2024-06-17 22:13:40	1878	3693	5	0	0	4	17	0	0	0	17	0	0	6.25	17	0	0	0	17	0	0	1.948		100.045	96.4083	0.101641	0	1.01595	0.0929321	14.3627	1		0	12.0705	48.5635	0	0	0	
2024-06-17 22:10:53	1859	3694	1	0	0	3	13	0	0	0	13	0	0	3.5	13	0	0	0	13	0	0	0.433		100.051	100.239	0.458868	0	4.58635	0.499417	14.4084	1		0	12.0705	49.3432	0	0	0	
2024-06-17 22:09:17	1848	3695	5	0	0	2	9	0	0	0	9	0	0	6.75	9	0	0	0	9	0	0	4.113		100.053	101.597	0.0529583	0	0.529302	0.247093	15.7971	1		0.0088623	12.0705	49.9929	0	0	0	
2024-06-17 22:18:22	1909	3696	5	0	0	7	29	0	0	0	29	0	0	5.75	29	0	0	0	29	0	0	1.082		100.042	94.7489	0.193425	0	1.93344	0.312064	15.1852	1		0.0088623	12.0705	48.0437	0	0	0	
2024-06-17 22:18:32	1910	3697	5	0	0	7	29	0	0	0	29	0	0	4.5	29	0	0	0	29	0	0	2.165		100.045	94.5208	0.0908177	0	0.907767	0.136171	14.2592	1		0.0088623	12.0705	47.9138	0	0	0	
2024-06-17 22:08:27	1842	3698	9	0	0	1	5	0	0	0	5	0	0	5.25	5	0	0	0	5	0	0	3.68		100.06	104.07	0.0605155	0	0.604795	0.326305	16.1502	1		0.0088623	12.0705	50.5127	0	0	0	
2024-06-17 22:07:33	1836	3699	9	0	0	1	5	0	0	0	5	0	0	4	5	0	0	0	5	0	0	2.598		100.053	101.997	0.0733074	0	0.732687	0.0310255	13.8108	1		0	12.0705	50.7726	0	0	0	
2024-06-17 22:25:27	1957	3700	1	0	0	4.75	20	0	0	0	20	0	0	3	20	0	0	0	20	0	0	1.515		100.036	91.7987	0.125423	0	1.25379	0.152239	13.7861	1		0.0088623	12.0705	47.9138	0	0	0	
2024-06-17 22:17:38	1904	3701	5	0	0	6	25	0	0	0	25	0	0	3	25	0	0	0	25	0	0	2.598		100.04	93.3041	0.0776638	0	0.776328	0.115449	14.6334	1		0.0088623	12.0705	48.0437	0	0	0	
2024-06-17 22:10:27	1856	3702	5	0	0	2	9	0	0	0	9	0	0	2.25	9	0	0	0	9	0	0	0.216		100.054	99.9443	0.721071	0	7.20682	0.304095	11.3204	1		0.0088623	12.0705	49.3432	0	0	0	
2024-06-17 22:19:18	1915	3703	5	0	0	7	29	0	0	0	29	0	0	0.5	29	0	0	0	29	0	0	5.628		100.046	95.1057	0.0440892	0	0.440688	0.500937	17.998	1		0.0088623	12.0616	48.0437	0	0	0	
2024-06-17 22:05:33	1824	3704	1	0	0	0	1	0	0	0	1	0	0	3.5	1	0	0	0	1	0	0	3.031		100.062	93.6554	0.0678571	0	0.678149	0.565787	14.9133	1		0.0088623	12.0705	52.5918	0	0	0	
2024-06-17 22:27:03	1968	3705	1	0	0	1.75	8	0	0	0	8	0	0	0	8	0	0	0	8	0	0	1.515		100.04	92.1914	0.122422	0	1.22373	0.135142	13.4556	1		0.0088623	12.0705	47.9138	0	0	0	
2024-06-17 22:16:40	1898	3706	9	0	0	6	25	0	0	0	25	0	0	7	25	0	0	0	25	0	0	0.866		100.043	95.5561	0.252625	0	2.52517	0.298676	15.8661	1		0.0088623	12.0616	48.1737	0	0	0	
2024-06-17 22:26:13	1962	3707	1	0	0	6.5	27	0	0	0	27	0	0	1.25	27	0	0	0	27	0	0	4.546		100.037	91.7074	0.0535186	0	0.53499	0.617685	17.6476	1		0.0088623	12.0705	47.9138	0	0	0	
2024-06-17 22:20:53	1926	3708	1	0	0	7.75	32	0	0	0	32	0	0	1.25	32	0	0	0	32	0	0	5.628		100.041	95.659	0.0391362	0	0.391202	0.355154	15.977	1		0.0088623	12.0616	48.0437	0	0	0	
2024-06-17 22:14:53	1886	3709	9	0	0	5	21	0	0	0	21	0	0	5.5	21	0	0	0	21	0	0	0.433		100.043	96.1606	0.47624	0	4.76037	0.365805	14.9552	1		0.0088623	12.0616	48.3036	0	0	0	
2024-06-17 22:14:23	1883	3710	5	0	0	5	21	0	0	0	21	0	0	4.25	21	0	0	0	21	0	0	0.649		100.042	95.5634	0.323496	0	3.23362	0.129742	15.2381	2		0.0088623	12.0705	48.4336	0	0	0	
2024-06-17 22:11:47	1865	3711	1	0	0	3	13	0	0	0	13	0	0	1	13	0	0	0	13	0	0	1.732		100.049	99.5405	0.10488	0	1.04829	0.0743481	13.1732	1		0.0088623	12.0705	48.9533	0	0	0	
2024-06-17 22:08:35	1843	3712	5	0	0	1	5	0	0	0	5	0	0	2	5	0	0	0	5	0	0	0.866		100.057	103.57	0.216208	0	2.16086	0.0458928	13.5771	1		0	11.9464	50.3827	0	0	0	
2024-06-17 22:22:31	1937	3713	9	0	0	1.75	8	0	0	0	8	0	0	6	8	0	0	0	8	0	0	3.68		100.04	94.586	0.0604288	0	0.604045	0.126499	16.1301	1		0.0088623	12.0705	47.9138	0	0	0	
