Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	A(adr)	B(x)	B(y)	B(z)	B(adr)	M(x)	M(y)	M(z)	M(adr)	N(x)	N(y)	N(z)	N(adr)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(Ohm)	Var(%)	Rho-a(Ohm-m)	Cycles	IP Delay Window(mV/V)	Pint(V)	Pext(V)	T int(deg C)	T log(deg C)	Latitude	Longitude
2024-06-25 23:48:09	106	1	1	0	0	7.75	32	0	0	0	32	0	0	2	32	0	0	0	32	0	0	4.979		99.9939	39.8963	0.0424854	0	0.42488	0.195346	15.3502	1		0	12.0616	43.4956	0	0	0	
2024-06-25 23:42:59	65	2	9	0	0	5	21	0	0	0	21	0	0	7.5	21	0	0	0	21	0	0	2.165		100.003	40.1958	0.0906094	0	0.906066	0.283434	14.2324	1		0.0088623	11.9552	44.1454	0	0	0	
2024-06-25 23:43:13	67	3	5	0	0	5	21	0	0	0	21	0	0	6.25	21	0	0	0	21	0	0	1.082		100.005	40.1817	0.184887	0	1.84878	0.0330679	14.5203	2		0.0088623	12.0616	44.1454	0	0	0	
2024-06-25 23:40:23	44	4	1	0	0	3	13	0	0	0	13	0	0	1.75	13	0	0	0	13	0	0	1.082		100.009	40.4712	0.170293	0	1.70279	0.0233348	13.3737	1		0.0088623	11.9552	44.7951	0	0	0	
2024-06-25 23:48:01	105	5	9	0	0	7.75	32	0	0	0	32	0	0	6.75	32	0	0	0	32	0	0	0.866		99.9963	39.9035	0.239473	0	2.39482	0.16993	15.0471	1		0.0088623	12.0616	43.4956	0	0	0	
2024-06-25 23:53:29	149	6	1	0	0	3.25	14	0	0	0	14	0	0	2.5	14	0	0	0	14	0	0	0.649		99.9974	40.2348	0.283367	0	2.83375	0.404204	13.3537	1		0	12.0616	43.4956	0	0	0	
2024-06-25 23:41:35	54	7	5	0	0	4	17	0	0	0	17	0	0	7.5	17	0	0	0	17	0	0	3.031		100.004	39.8709	0.0661961	0	0.661935	0.405724	14.5567	1		0.0088623	12.0616	44.5352	0	0	0	
2024-06-25 23:41:06	50	8	1	0	0	4	17	0	0	0	17	0	0	6.25	17	0	0	0	17	0	0	1.948		100.007	39.9057	0.10113	0	1.01123	0.337826	14.2959	1		0.0088623	12.0616	44.6651	0	0	0	
2024-06-25 23:39:56	40	9	1	0	0	3	13	0	0	0	13	0	0	3.5	13	0	0	0	13	0	0	0.433		100.007	40.4738	0.447994	0	4.47961	0.194516	14.0731	1		0	12.0616	45.055	0	0	0	
2024-06-25 23:38:46	30	10	5	0	0	2	9	0	0	0	9	0	0	6.75	9	0	0	0	9	0	0	4.113		100.002	39.6516	0.0537077	0	0.537067	0.166524	16.0288	1		0.0088623	12.0616	45.5748	0	0	0	
