datetime,time (s),sigma_w (S/m)
2024-10-10 15:00:00,-610200.0,
2024-10-10 15:01:00,-610140.0,
2024-10-10 15:02:00,-610080.0,
2024-10-10 15:03:00,-610020.0,
2024-10-10 15:04:00,-609960.0,
2024-10-10 15:05:00,-609900.0,
2024-10-10 15:06:00,-609840.0,
2024-10-10 15:07:00,-609780.0,
2024-10-10 15:08:00,-609720.0,
2024-10-10 15:09:00,-609660.0,
2024-10-10 15:10:00,-609600.0,
2024-10-10 15:11:00,-609540.0,
2024-10-10 15:12:00,-609480.0,
2024-10-10 15:13:00,-609420.0,
2024-10-10 15:14:00,-609360.0,
2024-10-10 15:15:00,-609300.0,
2024-10-10 15:16:00,-609240.0,
2024-10-10 15:17:00,-609180.0,
2024-10-10 15:18:00,-609120.0,
2024-10-10 15:19:00,-609060.0,
2024-10-10 15:20:00,-609000.0,
2024-10-10 15:21:00,-608940.0,
2024-10-10 15:22:00,-608880.0,
2024-10-10 15:23:00,-608820.0,
2024-10-10 15:24:00,-608760.0,
2024-10-10 15:25:00,-608700.0,
2024-10-10 15:26:00,-608640.0,
2024-10-10 15:27:00,-608580.0,
2024-10-10 15:28:00,-608520.0,
2024-10-10 15:29:00,-608460.0,
2024-10-10 15:30:00,-608400.0,
2024-10-10 15:31:00,-608340.0,
2024-10-10 15:32:00,-608280.0,
2024-10-10 15:33:00,-608220.0,
2024-10-10 15:34:00,-608160.0,
2024-10-10 15:35:00,-608100.0,
2024-10-10 15:36:00,-608040.0,
2024-10-10 15:37:00,-607980.0,
2024-10-10 15:38:00,-607920.0,
2024-10-10 15:39:00,-607860.0,
2024-10-10 15:40:00,-607800.0,
2024-10-10 15:41:00,-607740.0,
2024-10-10 15:42:00,-607680.0,
2024-10-10 15:43:00,-607620.0,
2024-10-10 15:44:00,-607560.0,
2024-10-10 15:45:00,-607500.0,
2024-10-10 15:46:00,-607440.0,
2024-10-10 15:47:00,-607380.0,
2024-10-10 15:48:00,-607320.0,
2024-10-10 15:49:00,-607260.0,
2024-10-10 15:50:00,-607200.0,
2024-10-10 15:51:00,-607140.0,
2024-10-10 15:52:00,-607080.0,
2024-10-10 15:53:00,-607020.0,
2024-10-10 15:54:00,-606960.0,
2024-10-10 15:55:00,-606900.0,
2024-10-10 15:56:00,-606840.0,
2024-10-10 15:57:00,-606780.0,
2024-10-10 15:58:00,-606720.0,
2024-10-10 15:59:00,-606660.0,
2024-10-10 16:00:00,-606600.0,
2024-10-10 16:01:00,-606540.0,
2024-10-10 16:02:00,-606480.0,
2024-10-10 16:03:00,-606420.0,
2024-10-10 16:04:00,-606360.0,
2024-10-10 16:05:00,-606300.0,
2024-10-10 16:06:00,-606240.0,
2024-10-10 16:07:00,-606180.0,
2024-10-10 16:08:00,-606120.0,
2024-10-10 16:09:00,-606060.0,
2024-10-10 16:10:00,-606000.0,
2024-10-10 16:11:00,-605940.0,
2024-10-10 16:12:00,-605880.0,
2024-10-10 16:13:00,-605820.0,
2024-10-10 16:14:00,-605760.0,
2024-10-10 16:15:00,-605700.0,
2024-10-10 16:16:00,-605640.0,
2024-10-10 16:17:00,-605580.0,
2024-10-10 16:18:00,-605520.0,
2024-10-10 16:19:00,-605460.0,
2024-10-10 16:20:00,-605400.0,
2024-10-10 16:21:00,-605340.0,
2024-10-10 16:22:00,-605280.0,
2024-10-10 16:23:00,-605220.0,
2024-10-10 16:24:00,-605160.0,
2024-10-10 16:25:00,-605100.0,
2024-10-10 16:26:00,-605040.0,
2024-10-10 16:27:00,-604980.0,
2024-10-10 16:28:00,-604920.0,
2024-10-10 16:29:00,-604860.0,
2024-10-10 16:30:00,-604800.0,
2024-10-10 16:31:00,-604740.0,
2024-10-10 16:32:00,-604680.0,
2024-10-10 16:33:00,-604620.0,
2024-10-10 16:34:00,-604560.0,
2024-10-10 16:35:00,-604500.0,
2024-10-10 16:36:00,-604440.0,
2024-10-10 16:37:00,-604380.0,
2024-10-10 16:38:00,-604320.0,
2024-10-10 16:39:00,-604260.0,
2024-10-10 16:40:00,-604200.0,
2024-10-10 16:41:00,-604140.0,
2024-10-10 16:42:00,-604080.0,
2024-10-10 16:43:00,-604020.0,
2024-10-10 16:44:00,-603960.0,
2024-10-10 16:45:00,-603900.0,
2024-10-10 16:46:00,-603840.0,
